"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2021","EQ","99.90","101.50","99.50","99.45","99.65","99.70","100.15","166.90","47.75","33,51,858","33,57,00,306.65","24,617"
"30-Dec-2021","EQ","100.00","100.40","99.10","99.85","99.50","99.45","99.79","166.90","47.75","20,92,134","20,87,64,670.25","18,709"
"29-Dec-2021","EQ","101.20","102.40","99.70","101.00","99.85","99.85","100.79","166.90","47.75","30,75,259","30,99,52,190.00","24,344"
"28-Dec-2021","EQ","100.30","104.00","99.20","99.45","100.80","101.00","101.40","166.90","47.75","70,55,795","71,54,55,142.45","40,222"
"27-Dec-2021","EQ","98.80","100.70","97.30","98.65","99.30","99.45","99.12","166.90","47.75","46,43,998","46,03,07,396.55","27,736"
"24-Dec-2021","EQ","99.95","99.95","98.10","99.30","98.80","98.65","98.68","166.90","42.75","25,72,160","25,38,18,659.30","20,767"
"23-Dec-2021","EQ","100.45","100.95","99.10","99.65","99.30","99.30","99.77","166.90","42.75","22,35,524","22,30,47,512.35","21,869"
"22-Dec-2021","EQ","99.90","100.95","99.00","98.85","99.75","99.65","99.68","166.90","42.75","21,58,306","21,51,38,230.30","20,865"
"21-Dec-2021","EQ","97.15","99.90","97.15","97.10","98.85","98.85","99.02","166.90","42.75","28,57,892","28,29,95,486.55","24,937"
"20-Dec-2021","EQ","98.80","98.80","95.10","100.10","97.15","97.10","96.71","166.90","42.75","41,06,643","39,71,56,680.55","44,950"
"17-Dec-2021","EQ","101.00","101.30","99.00","101.30","100.20","100.10","99.96","166.90","42.75","33,57,266","33,55,80,494.20","32,945"
"16-Dec-2021","EQ","103.70","103.95","100.80","102.20","101.40","101.30","101.74","166.90","42.75","23,36,205","23,76,94,320.20","23,803"
"15-Dec-2021","EQ","103.50","104.70","101.55","103.35","102.00","102.20","103.09","166.90","42.75","26,00,789","26,81,14,904.90","24,559"
"14-Dec-2021","EQ","103.40","104.85","102.50","103.75","103.20","103.35","103.51","166.90","42.75","26,03,876","26,95,26,144.30","24,511"
"13-Dec-2021","EQ","105.60","107.40","103.50","104.05","103.75","103.75","105.38","166.90","42.75","46,73,258","49,24,79,398.80","33,995"
"10-Dec-2021","EQ","103.80","106.45","103.50","103.55","104.25","104.05","104.89","166.90","42.75","49,22,750","51,63,53,761.85","31,818"
"09-Dec-2021","EQ","105.35","105.35","102.70","103.95","103.85","103.55","104.03","166.90","42.75","30,13,021","31,34,57,840.45","27,172"
"08-Dec-2021","EQ","101.00","107.50","101.00","100.35","104.00","103.95","104.46","166.90","42.75","71,00,221","74,16,88,930.25","48,919"
"07-Dec-2021","EQ","100.60","100.95","99.00","99.50","100.40","100.35","100.20","166.90","42.75","26,90,187","26,95,67,197.85","25,557"
"06-Dec-2021","EQ","100.80","101.00","99.00","100.80","99.70","99.50","99.88","166.90","42.75","23,66,475","23,63,59,487.00","25,255"
"03-Dec-2021","EQ","101.90","102.60","100.50","101.75","100.95","100.80","101.31","166.90","38.65","29,19,273","29,57,62,594.15","26,203"
