"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"29-Dec-2023","EQ","721.70","728.75","716.00","721.25","720.00","721.05","720.77","746.00","250.25","16,49,162","1,18,86,62,664.05","39,070"
"28-Dec-2023","EQ","735.95","737.00","715.20","735.00","717.70","721.25","724.87","746.00","250.25","16,11,193","1,16,78,97,937.90","41,579"
"27-Dec-2023","EQ","738.00","743.25","726.60","734.70","733.80","735.00","734.75","746.00","250.25","9,90,093","72,74,74,087.90","27,390"
"26-Dec-2023","EQ","742.40","746.00","729.95","741.20","735.60","734.70","738.00","746.00","250.25","15,44,968","1,14,01,81,878.20","43,128"
"22-Dec-2023","EQ","728.15","746.00","723.10","723.15","739.35","741.20","733.83","746.00","250.25","28,55,709","2,09,55,94,224.20","62,762"
"21-Dec-2023","EQ","696.00","728.70","692.95","706.00","724.00","723.15","718.46","739.40","250.25","30,11,794","2,16,38,56,113.00","73,234"
"20-Dec-2023","EQ","719.60","739.40","700.40","716.70","702.00","706.00","728.03","739.40","250.25","44,19,054","3,21,72,11,430.20","90,618"
"19-Dec-2023","EQ","718.00","723.35","711.40","716.45","714.00","716.70","716.98","731.05","250.25","14,23,500","1,02,06,21,144.80","40,031"
"18-Dec-2023","EQ","718.90","727.45","705.80","719.60","715.00","716.45","718.19","731.05","250.25","25,58,759","1,83,76,63,109.35","55,424"
"15-Dec-2023","EQ","704.20","731.05","699.00","700.40","716.55","719.60","718.76","731.05","250.25","54,48,159","3,91,59,25,680.75","1,05,047"
"14-Dec-2023","EQ","680.00","707.00","678.15","671.15","699.35","700.40","698.96","707.00","250.25","45,34,231","3,16,92,35,636.90","90,830"
"13-Dec-2023","EQ","668.00","673.75","663.50","663.95","671.50","671.15","669.06","673.75","250.25","21,19,842","1,41,83,07,206.35","57,345"
"12-Dec-2023","EQ","661.15","669.80","660.65","660.05","662.85","663.95","665.28","669.80","250.25","15,66,679","1,04,22,79,301.65","48,608"
"11-Dec-2023","EQ","660.75","666.75","657.25","657.75","658.60","660.05","661.82","667.00","250.25","8,06,069","53,34,71,079.55","28,725"
"08-Dec-2023","EQ","657.00","667.00","648.05","655.35","658.00","657.75","657.81","667.00","250.25","18,55,127","1,22,03,21,414.00","44,804"
"07-Dec-2023","EQ","656.40","661.50","651.50","653.35","654.50","655.35","657.24","661.50","250.25","16,36,475","1,07,55,63,467.70","37,489"
"06-Dec-2023","EQ","642.80","659.85","640.05","637.60","655.00","653.35","651.83","659.85","250.25","35,23,055","2,29,64,39,999.00","68,344"
"05-Dec-2023","EQ","635.00","639.35","624.05","635.15","636.10","637.60","632.60","645.50","250.25","11,74,337","74,28,91,218.35","40,629"
"04-Dec-2023","EQ","645.00","645.50","631.40","634.70","635.00","635.15","636.36","645.50","250.25","10,12,029","64,40,12,779.40","30,694"
"01-Dec-2023","EQ","632.40","642.40","629.95","630.35","633.00","634.70","635.56","642.40","250.25","22,55,086","1,43,32,34,190.80","53,032"
"30-Nov-2023","EQ","628.95","633.70","623.65","628.15","631.00","630.35","629.92","638.00","250.25","16,78,958","1,05,76,13,684.80","40,257"
"29-Nov-2023","EQ","615.00","634.75","613.55","611.70","627.05","628.15","629.31","638.00","250.25","28,80,187","1,81,25,20,319.95","55,354"
"28-Nov-2023","EQ","618.00","618.35","600.10","613.85","614.00","611.70","607.56","638.00","250.25","18,33,462","1,11,39,42,340.15","43,400"
"24-Nov-2023","EQ","624.35","624.45","612.00","622.20","614.75","613.85","615.94","638.00","250.25","8,72,220","53,72,37,458.95","22,612"
"23-Nov-2023","EQ","627.10","631.40","618.15","624.80","622.15","622.20","625.59","638.00","250.25","8,51,855","53,29,13,258.85","19,289"
"22-Nov-2023","EQ","617.05","626.85","611.50","615.90","625.00","624.80","621.63","638.00","250.25","17,18,394","1,06,82,03,554.15","36,099"
"21-Nov-2023","EQ","625.95","629.70","614.00","621.40","615.55","615.90","619.29","638.00","250.25","12,46,438","77,19,06,969.05","28,790"
"20-Nov-2023","EQ","621.00","638.00","619.00","622.60","623.30","621.40","627.78","638.00","250.25","24,97,155","1,56,76,61,590.50","48,433"
"17-Nov-2023","EQ","617.00","625.00","616.00","619.00","620.35","622.60","621.64","625.00","250.25","13,10,073","81,43,89,718.00","25,876"
"16-Nov-2023","EQ","616.00","623.55","605.25","612.45","617.05","619.00","615.48","623.55","250.25","29,12,928","1,79,28,47,957.90","50,744"
"15-Nov-2023","EQ","591.95","616.50","590.05","583.25","615.85","612.45","605.04","616.50","250.25","43,23,893","2,61,61,47,188.85","65,755"
"13-Nov-2023","EQ","592.00","593.00","581.65","590.35","583.25","583.25","585.25","600.00","250.25","8,06,673","47,21,04,949.85","15,817"
"12-Nov-2023","EQ","586.00","592.00","586.00","583.40","591.65","590.35","589.59","600.00","250.25","2,68,172","15,81,11,714.85","7,719"
"10-Nov-2023","EQ","584.60","593.90","580.00","583.00","583.95","583.40","585.40","600.00","250.25","20,69,707","1,21,16,10,313.65","32,869"
"09-Nov-2023","EQ","583.45","588.00","582.00","581.55","582.90","583.00","584.69","600.00","250.25","12,47,108","72,91,73,634.95","33,056"
"08-Nov-2023","EQ","586.50","591.05","579.55","583.85","582.00","581.55","585.48","600.00","250.25","12,68,454","74,26,57,850.60","27,977"
"07-Nov-2023","EQ","588.00","599.15","581.20","597.45","585.00","583.85","589.04","600.00","250.25","20,95,314","1,23,42,14,874.60","35,698"
"06-Nov-2023","EQ","593.90","600.00","588.05","587.75","597.00","597.45","596.85","600.00","250.25","24,37,161","1,45,46,30,877.55","43,493"
"03-Nov-2023","EQ","580.00","593.00","579.00","577.70","586.35","587.75","587.67","593.00","250.25","30,63,927","1,80,05,84,222.80","58,666"
"02-Nov-2023","EQ","579.25","585.40","576.25","574.20","577.50","577.70","579.44","585.40","250.25","32,52,737","1,88,47,63,082.70","58,729"
"01-Nov-2023","EQ","561.45","583.30","544.20","547.65","573.00","574.20","572.06","583.30","250.25","1,30,01,342","7,43,75,75,353.00","1,60,900"
