"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"18-Jun-2025","EQ","1,565.00","1,569.90","1,532.00","1,561.60","1,532.00","1,542.80","1,553.52","1,637.00","593.60","3,00,278","46,64,86,480.60","19,421"
"17-Jun-2025","EQ","1,571.10","1,614.00","1,552.00","1,572.50","1,558.00","1,561.60","1,587.33","1,637.00","593.60","6,05,938","96,18,22,846.60","34,736"
"16-Jun-2025","EQ","1,565.00","1,577.80","1,540.20","1,554.30","1,571.80","1,572.50","1,562.21","1,637.00","593.60","3,33,683","52,12,82,770.20","21,542"
"13-Jun-2025","EQ","1,547.00","1,582.30","1,525.20","1,562.80","1,560.80","1,554.30","1,556.03","1,637.00","579.30","4,48,572","69,79,90,813.20","33,795"
"12-Jun-2025","EQ","1,585.00","1,637.00","1,551.30","1,575.90","1,570.80","1,562.80","1,591.56","1,637.00","579.30","8,11,804","1,29,20,37,786.40","52,675"
"11-Jun-2025","EQ","1,564.90","1,612.00","1,556.20","1,553.30","1,580.00","1,575.90","1,588.60","1,612.00","579.30","8,40,406","1,33,50,67,534.20","55,331"
"10-Jun-2025","EQ","1,544.70","1,587.00","1,527.70","1,531.60","1,550.00","1,553.30","1,559.53","1,594.80","579.30","6,07,813","94,79,02,505.00","42,100"
"09-Jun-2025","EQ","1,550.60","1,554.80","1,499.20","1,544.60","1,533.00","1,531.60","1,530.30","1,594.80","579.30","4,91,066","75,14,80,594.80","26,723"
"06-Jun-2025","EQ","1,544.20","1,563.90","1,518.00","1,539.00","1,540.80","1,544.60","1,545.04","1,594.80","503.30","4,45,297","68,80,01,683.40","23,970"
"05-Jun-2025","EQ","1,577.50","1,585.00","1,525.00","1,577.20","1,540.00","1,539.00","1,552.26","1,594.80","503.30","5,34,271","82,93,27,727.70","30,514"
"04-Jun-2025","EQ","1,540.10","1,585.00","1,531.80","1,540.10","1,575.00","1,577.20","1,558.89","1,594.80","503.30","7,25,771","1,13,14,00,765.50","36,511"
"03-Jun-2025","EQ","1,483.00","1,594.80","1,476.40","1,480.20","1,543.50","1,540.10","1,557.38","1,594.80","503.30","26,73,869","4,16,42,39,265.70","1,09,689"
"02-Jun-2025","EQ","1,494.00","1,507.90","1,460.00","1,483.70","1,479.00","1,480.20","1,481.99","1,529.00","503.30","6,09,824","90,37,50,947.40","31,756"
"30-May-2025","EQ","1,525.00","1,525.00","1,478.00","1,519.50","1,480.40","1,483.70","1,493.23","1,529.00","503.30","4,92,193","73,49,55,975.30","26,524"
"29-May-2025","EQ","1,456.00","1,529.00","1,421.50","1,444.70","1,519.00","1,519.50","1,480.31","1,529.00","503.30","20,44,345","3,02,62,57,618.80","88,761"
"28-May-2025","EQ","1,362.90","1,449.80","1,360.10","1,355.40","1,449.80","1,444.70","1,418.46","1,449.80","503.30","15,24,601","2,16,25,85,500.60","67,162"
"27-May-2025","EQ","1,365.90","1,379.00","1,345.00","1,365.90","1,355.70","1,355.40","1,359.55","1,443.10","503.30","2,65,026","36,03,16,893.90","18,909"
"26-May-2025","EQ","1,327.40","1,374.90","1,324.40","1,327.40","1,360.00","1,365.90","1,356.45","1,443.10","503.30","5,12,012","69,45,20,711.10","26,746"
"23-May-2025","EQ","1,357.80","1,357.80","1,285.40","1,361.50","1,323.00","1,327.40","1,314.52","1,443.10","503.30","8,25,548","1,08,51,97,848.50","56,203"
"22-May-2025","EQ","1,375.00","1,393.90","1,330.10","1,368.70","1,336.30","1,361.50","1,363.05","1,443.10","503.30","7,44,849","1,01,52,69,085.10","46,508"
"21-May-2025","EQ","1,378.70","1,384.90","1,351.00","1,374.20","1,368.10","1,368.70","1,368.77","1,443.10","503.30","2,31,267","31,65,52,147.50","20,082"
"20-May-2025","EQ","1,389.00","1,407.30","1,361.10","1,383.40","1,378.10","1,374.20","1,386.25","1,443.10","503.30","4,97,634","68,98,47,465.80","28,977"
"19-May-2025","EQ","1,353.60","1,390.00","1,340.80","1,345.10","1,386.50","1,383.40","1,370.97","1,443.10","503.30","3,42,529","46,95,98,095.60","23,660"
"16-May-2025","EQ","1,355.00","1,368.00","1,332.00","1,345.20","1,349.00","1,345.10","1,347.69","1,443.10","503.30","2,28,224","30,75,74,778.30","19,458"
"15-May-2025","EQ","1,341.00","1,392.00","1,335.30","1,336.00","1,342.00","1,345.20","1,363.41","1,443.10","503.30","6,55,213","89,33,26,292.30","41,715"
"14-May-2025","EQ","1,298.40","1,344.00","1,289.00","1,290.80","1,341.00","1,336.00","1,319.46","1,443.10","503.30","4,13,968","54,62,16,037.10","28,056"
"13-May-2025","EQ","1,302.00","1,309.00","1,281.00","1,302.00","1,289.60","1,290.80","1,293.08","1,443.10","503.30","2,15,490","27,86,45,795.30","22,000"
"12-May-2025","EQ","1,290.00","1,335.00","1,278.50","1,254.00","1,302.90","1,302.00","1,302.47","1,443.10","503.30","3,97,618","51,78,87,276.80","32,746"
"09-May-2025","EQ","1,205.00","1,263.90","1,205.00","1,249.80","1,251.10","1,254.00","1,238.46","1,443.10","503.30","2,52,359","31,25,35,464.40","25,523"
"08-May-2025","EQ","1,267.80","1,297.80","1,234.00","1,264.00","1,246.40","1,249.80","1,273.26","1,443.10","503.30","3,38,182","43,05,94,622.60","29,756"
"07-May-2025","EQ","1,206.40","1,274.00","1,205.10","1,246.90","1,268.00","1,264.00","1,248.07","1,443.10","503.30","3,62,707","45,26,84,906.50","36,614"
"06-May-2025","EQ","1,295.50","1,296.60","1,234.10","1,289.60","1,243.80","1,246.90","1,261.42","1,443.10","503.30","2,71,529","34,25,12,622.60","26,999"
"05-May-2025","EQ","1,265.70","1,298.00","1,251.20","1,265.70","1,297.00","1,289.60","1,281.12","1,443.10","503.30","2,56,401","32,84,81,298.70","27,273"
"02-May-2025","EQ","1,279.90","1,294.80","1,250.00","1,279.90","1,265.00","1,265.70","1,269.13","1,443.10","503.30","2,08,211","26,42,47,825.60","20,082"
"30-Apr-2025","EQ","1,302.00","1,302.70","1,275.00","1,301.60","1,277.00","1,279.90","1,288.15","1,443.10","503.30","2,53,846","32,69,90,808.30","23,073"
"29-Apr-2025","EQ","1,321.00","1,337.00","1,288.60","1,313.90","1,302.00","1,301.60","1,307.14","1,443.10","503.30","2,47,662","32,37,28,505.20","23,483"
"28-Apr-2025","EQ","1,294.90","1,329.70","1,283.70","1,309.30","1,320.80","1,313.90","1,314.80","1,443.10","503.30","2,07,487","27,28,03,705.10","21,887"
"25-Apr-2025","EQ","1,324.00","1,348.90","1,267.10","1,317.70","1,295.00","1,309.30","1,301.16","1,443.10","503.30","4,68,469","60,95,53,689.80","47,032"
