"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Feb-2025","EQ","729.05","730.45","702.80","730.95","708.25","709.10","713.41","967.60","687.05","30,36,850","2,16,65,07,915.40","69,322"
"10-Feb-2025","EQ","758.00","760.95","727.75","757.45","730.20","730.95","738.12","967.60","687.05","20,70,161","1,52,80,27,816.75","45,669"
"07-Feb-2025","EQ","766.50","771.35","750.00","764.05","755.65","757.45","761.34","967.60","687.05","41,67,198","3,17,26,39,592.10","74,121"
"06-Feb-2025","EQ","791.00","793.50","760.90","763.40","765.50","764.05","772.77","967.60","687.05","53,68,289","4,14,84,37,673.35","99,774"
"05-Feb-2025","EQ","768.80","774.00","761.00","762.20","762.50","763.40","767.60","967.60","687.05","17,47,014","1,34,10,10,716.45","38,436"
"04-Feb-2025","EQ","754.70","766.45","752.60","748.65","761.80","762.20","760.33","967.60","687.05","22,49,829","1,71,06,19,713.85","72,954"
"03-Feb-2025","EQ","756.75","757.40","734.75","760.65","745.90","748.65","744.44","967.60","687.05","30,09,915","2,24,07,11,950.75","79,970"
"01-Feb-2025","EQ","749.00","767.40","737.05","745.05","761.50","760.65","755.51","967.60","687.05","29,92,277","2,26,06,90,453.90","83,016"
"31-Jan-2025","EQ","751.95","754.00","737.00","750.05","745.00","745.05","745.36","967.60","687.05","33,86,278","2,52,40,02,025.40","1,05,990"
"30-Jan-2025","EQ","745.40","769.75","745.10","745.40","750.00","750.05","757.68","967.60","687.05","54,14,885","4,10,27,53,890.30","1,15,627"
"29-Jan-2025","EQ","730.00","748.65","725.00","726.75","745.30","745.40","740.14","967.60","687.05","38,31,233","2,83,56,34,299.60","91,761"
"28-Jan-2025","EQ","723.00","741.80","710.25","703.90","727.80","726.75","725.07","967.60","687.05","95,61,702","6,93,28,58,475.55","1,93,893"
"27-Jan-2025","EQ","696.50","731.70","696.50","695.25","702.80","703.90","715.97","967.60","687.05","1,75,09,736","12,53,64,16,222.50","3,36,755"
"24-Jan-2025","EQ","718.00","720.00","691.10","715.05","692.80","695.25","705.38","967.60","687.05","34,32,119","2,42,09,48,607.75","83,110"
"23-Jan-2025","EQ","713.80","724.40","707.00","713.80","715.45","715.05","715.83","967.60","687.05","28,10,434","2,01,17,94,269.80","66,404"
"22-Jan-2025","EQ","741.65","744.90","700.80","737.90","713.50","713.80","714.57","967.60","687.05","58,28,129","4,16,46,33,539.70","1,03,296"
"21-Jan-2025","EQ","762.00","764.35","736.60","760.60","740.00","737.90","748.09","967.60","687.05","22,87,256","1,71,10,77,871.45","51,607"
"20-Jan-2025","EQ","753.85","763.50","749.05","749.00","760.00","760.60","758.29","967.60","687.05","16,27,004","1,23,37,45,485.20","32,470"
"17-Jan-2025","EQ","735.30","753.55","735.30","740.85","750.00","749.00","748.09","967.60","687.05","20,84,685","1,55,95,30,796.95","55,914"
"16-Jan-2025","EQ","744.00","760.50","739.80","734.80","742.00","740.85","749.32","967.60","687.05","24,01,114","1,79,92,03,109.20","63,132"
"15-Jan-2025","EQ","730.00","742.00","719.85","723.25","733.90","734.80","731.81","967.60","687.05","53,33,750","3,90,33,05,233.80","69,351"
"14-Jan-2025","EQ","719.90","726.00","711.15","710.80","725.50","723.25","718.92","967.60","687.05","44,74,786","3,21,70,14,170.30","89,589"
"13-Jan-2025","EQ","743.00","747.95","707.05","752.15","707.50","710.80","721.89","967.60","687.05","67,70,170","4,88,72,95,099.35","1,17,721"
"10-Jan-2025","EQ","781.00","784.50","750.15","780.65","753.00","752.15","761.35","967.60","687.05","49,94,931","3,80,28,69,619.45","1,37,400"
"09-Jan-2025","EQ","803.60","804.00","778.80","802.60","782.00","780.65","787.06","967.60","687.05","23,95,731","1,88,55,78,116.15","71,210"
"08-Jan-2025","EQ","808.00","811.45","794.75","810.80","800.00","802.60","801.10","967.60","687.05","24,32,853","1,94,89,69,369.05","50,132"
"07-Jan-2025","EQ","809.00","817.50","804.50","805.85","809.10","810.80","810.74","967.60","687.05","22,90,843","1,85,72,76,751.20","50,933"
"06-Jan-2025","EQ","829.00","834.00","801.50","828.05","805.70","805.85","813.06","967.60","687.05","31,25,197","2,54,09,84,855.80","61,520"
"03-Jan-2025","EQ","834.60","839.85","824.15","835.40","828.20","828.05","829.54","967.60","687.05","21,25,279","1,76,29,96,378.10","55,771"
"02-Jan-2025","EQ","820.00","838.25","815.25","824.50","834.60","835.40","826.52","967.60","687.05","25,09,773","2,07,43,71,991.75","41,776"
"01-Jan-2025","EQ","821.55","826.25","814.60","824.90","825.20","824.50","820.71","967.60","687.05","9,29,268","76,26,62,856.60","35,601"
