"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Dec-2022","EQ","125.60","128.25","124.55","123.95","125.80","125.30","126.42","152.50","60.05","1,47,808","1,86,86,023.50","3,167"
"29-Dec-2022","EQ","126.20","127.30","122.45","125.10","124.20","123.95","124.33","152.50","60.05","2,06,286","2,56,47,170.55","3,793"
"28-Dec-2022","EQ","125.15","129.80","122.65","125.05","125.00","125.10","126.20","152.50","60.05","3,00,039","3,78,63,665.00","5,360"
"27-Dec-2022","EQ","125.45","128.55","121.95","121.65","124.65","125.05","125.30","152.50","60.05","3,18,669","3,99,27,713.60","6,045"
"26-Dec-2022","EQ","110.00","125.90","110.00","109.45","123.40","121.65","120.47","152.50","60.05","6,12,905","7,38,34,271.35","12,281"
"23-Dec-2022","EQ","120.85","120.85","102.65","121.15","110.00","109.45","110.59","152.50","60.05","10,79,336","11,93,59,269.00","18,166"
"22-Dec-2022","EQ","124.75","128.55","117.40","124.75","120.50","121.15","120.13","152.50","60.05","4,27,877","5,13,99,601.15","9,369"
"21-Dec-2022","EQ","135.95","140.00","121.90","134.60","125.60","124.75","129.45","152.50","60.05","4,90,455","6,34,91,278.20","9,584"
"20-Dec-2022","EQ","137.00","137.85","132.40","137.00","134.80","134.60","134.52","152.50","60.05","1,83,410","2,46,71,610.10","4,829"
"19-Dec-2022","EQ","136.60","143.80","135.10","135.90","135.85","137.00","139.81","152.50","60.05","6,42,816","8,98,73,403.25","12,027"
"16-Dec-2022","EQ","132.45","137.85","129.10","131.85","135.40","135.90","135.42","152.50","60.05","7,21,454","9,77,01,893.20","12,771"
"15-Dec-2022","EQ","131.00","136.50","129.55","130.10","131.00","131.85","133.62","152.50","60.05","4,24,329","5,66,98,153.10","7,541"
"14-Dec-2022","EQ","127.45","132.00","127.45","127.00","130.00","130.10","130.23","152.50","60.05","2,38,892","3,11,10,770.90","6,073"
"13-Dec-2022","EQ","129.65","133.65","125.45","128.65","129.00","127.00","128.66","152.50","60.05","2,01,565","2,59,33,393.25","4,510"
"12-Dec-2022","EQ","129.00","132.75","125.55","128.20","128.10","128.65","129.51","152.50","60.05","2,66,945","3,45,71,085.20","6,387"
"09-Dec-2022","EQ","137.00","138.25","127.10","136.40","128.60","128.20","131.65","152.50","60.05","3,64,327","4,79,62,186.10","8,195"
"08-Dec-2022","EQ","135.00","145.00","134.05","132.20","135.80","136.40","138.67","152.50","60.05","12,89,468","17,88,05,414.00","19,801"
"07-Dec-2022","EQ","118.60","138.00","118.60","118.70","132.70","132.20","132.24","152.50","60.05","27,21,472","35,98,77,264.35","36,653"
"06-Dec-2022","EQ","120.40","120.50","118.45","119.20","118.60","118.70","119.25","152.50","60.05","70,738","84,35,219.15","1,658"
"05-Dec-2022","EQ","118.25","122.65","118.25","118.25","119.30","119.20","120.10","152.50","60.05","1,54,578","1,85,64,721.15","4,724"
"02-Dec-2022","EQ","117.95","118.90","117.25","117.95","118.75","118.25","118.07","152.50","60.05","1,05,786","1,24,89,637.25","2,885"
"01-Dec-2022","EQ","118.50","119.25","117.25","116.90","118.00","117.95","118.28","152.50","60.05","86,812","1,02,68,357.35","2,397"
"30-Nov-2022","EQ","116.80","117.50","114.85","116.20","117.10","116.90","116.42","152.50","60.05","1,20,411","1,40,18,166.60","2,267"
"29-Nov-2022","EQ","119.95","120.25","115.40","118.75","116.80","116.20","117.30","152.50","60.05","1,85,882","2,18,04,811.80","3,805"
"28-Nov-2022","EQ","118.40","124.70","117.30","118.70","118.10","118.75","121.17","152.50","60.05","1,80,965","2,19,28,243.25","3,591"
"25-Nov-2022","EQ","118.00","120.70","118.00","119.05","119.00","118.70","119.44","152.50","57.35","93,186","1,11,29,806.05","2,022"
"24-Nov-2022","EQ","117.55","120.85","117.10","117.20","119.35","119.05","119.13","152.50","57.35","1,17,005","1,39,38,722.95","2,307"
"23-Nov-2022","EQ","119.35","120.90","116.50","118.80","117.00","117.20","118.04","152.50","57.35","1,18,569","1,39,96,200.20","2,633"
"22-Nov-2022","EQ","119.30","120.45","117.50","118.80","119.30","118.80","118.92","152.50","57.35","98,274","1,16,86,674.00","2,563"
"21-Nov-2022","EQ","123.60","124.65","117.80","122.75","118.90","118.80","120.89","152.50","57.35","1,23,836","1,49,70,167.80","2,846"
"18-Nov-2022","EQ","121.50","125.40","120.30","120.20","122.40","122.75","122.80","152.50","57.35","2,43,887","2,99,49,426.70","4,068"
"17-Nov-2022","EQ","115.20","122.60","113.40","115.25","120.10","120.20","119.50","152.50","57.35","4,33,108","5,17,56,901.00","6,669"
"16-Nov-2022","EQ","121.55","122.80","114.30","121.55","115.20","115.25","117.73","152.50","57.35","2,44,790","2,88,18,609.35","5,374"
"15-Nov-2022","EQ","126.50","127.00","120.65","125.25","122.00","121.55","122.69","152.50","57.35","1,68,523","2,06,75,719.20","3,929"
"14-Nov-2022","EQ","125.00","130.00","123.00","123.05","126.90","125.25","126.04","152.50","57.35","2,58,057","3,25,25,231.55","4,597"
"11-Nov-2022","EQ","125.20","125.20","117.45","122.50","123.95","123.05","122.92","152.50","57.35","1,94,684","2,39,30,222.05","3,325"
"10-Nov-2022","EQ","125.90","126.20","120.40","125.60","122.80","122.50","122.88","152.50","57.35","1,54,414","1,89,73,966.45","3,495"
"09-Nov-2022","EQ","128.95","128.95","125.00","125.45","125.65","125.60","126.84","152.50","57.35","1,52,701","1,93,68,094.00","2,705"
"07-Nov-2022","EQ","127.90","127.95","124.80","126.05","126.00","125.45","126.14","152.50","57.35","1,68,921","2,13,07,154.05","3,613"
"04-Nov-2022","EQ","130.35","130.35","124.00","128.40","126.35","126.05","126.11","152.50","52.65","2,32,328","2,92,99,953.50","4,725"
"03-Nov-2022","EQ","128.05","131.55","127.65","128.00","128.00","128.40","129.16","152.50","52.65","2,12,387","2,74,32,441.65","3,529"
"02-Nov-2022","EQ","132.00","133.50","126.55","130.35","127.00","128.00","130.01","152.50","52.65","3,92,056","5,09,71,458.65","6,800"
"01-Nov-2022","EQ","126.90","135.90","126.40","126.10","131.00","130.35","131.96","152.50","52.65","7,39,522","9,75,85,739.40","9,286"
"31-Oct-2022","EQ","132.30","136.00","124.15","130.90","124.95","126.10","130.73","152.50","52.65","5,31,699","6,95,09,146.45","8,446"
"28-Oct-2022","EQ","125.95","134.00","115.40","125.95","130.00","130.90","126.68","152.50","47.25","13,07,889","16,56,87,353.30","19,944"
"27-Oct-2022","EQ","140.00","140.90","125.75","139.70","125.75","125.95","130.34","152.50","47.25","10,63,284","13,85,91,439.55","16,496"
"25-Oct-2022","EQ","149.90","152.50","133.10","145.55","139.05","139.70","140.45","152.50","47.25","16,71,854","23,48,06,178.55","19,694"
"24-Oct-2022","EQ","139.00","149.45","135.35","138.30","145.50","145.55","144.41","149.45","47.25","11,54,372","16,66,97,501.50","15,640"
"21-Oct-2022","EQ","140.55","140.55","131.20","127.80","139.00","138.30","138.39","140.55","42.40","38,89,408","53,82,61,015.80","32,777"
"20-Oct-2022","EQ","108.00","127.80","107.70","106.50","127.80","127.80","121.64","137.15","42.40","26,53,777","32,28,00,400.80","33,039"
"19-Oct-2022","EQ","101.35","114.00","99.50","96.40","106.50","106.50","108.04","137.15","42.40","39,16,014","42,30,73,311.35","49,208"
"18-Oct-2022","EQ","82.50","96.40","81.45","80.35","96.40","96.40","93.37","137.15","42.40","8,20,225","7,65,87,333.60","8,535"
"17-Oct-2022","EQ","82.00","82.95","79.45","81.70","81.40","80.35","80.47","137.15","42.40","87,285","70,23,823.60","1,987"
"14-Oct-2022","EQ","81.80","83.45","81.00","81.70","82.00","81.70","82.54","137.15","41.80","55,675","45,95,505.80","1,080"
"13-Oct-2022","EQ","83.15","83.60","79.80","82.35","81.60","81.70","81.23","137.15","41.80","67,865","55,12,920.85","1,565"
"12-Oct-2022","EQ","83.55","84.90","81.00","83.55","82.55","82.35","82.86","137.15","41.80","73,087","60,56,201.85","1,700"
"11-Oct-2022","EQ","85.90","85.90","83.00","85.40","84.00","83.55","84.26","137.15","41.80","73,462","61,89,710.20","1,590"
"10-Oct-2022","EQ","84.00","86.20","82.60","84.75","85.50","85.40","84.88","137.15","41.80","1,16,931","99,25,594.05","1,981"
"07-Oct-2022","EQ","89.70","91.25","84.75","89.20","84.75","84.75","85.75","137.15","41.75","5,26,349","4,51,32,172.05","2,938"
"06-Oct-2022","EQ","86.50","90.00","86.50","85.75","89.05","89.20","89.73","137.15","41.75","2,66,597","2,39,20,938.60","1,797"
"04-Oct-2022","EQ","87.50","87.60","85.45","85.25","86.00","85.75","86.39","137.15","41.75","56,289","48,62,707.70","766"
"03-Oct-2022","EQ","87.00","88.40","84.10","85.95","86.30","85.25","87.05","137.15","41.75","76,033","66,18,371.15","1,417"
"30-Sep-2022","EQ","82.25","86.35","81.60","82.25","86.35","85.95","84.53","137.15","41.75","62,458","52,79,605.15","1,153"
"29-Sep-2022","EQ","80.90","83.40","80.25","79.55","83.40","82.25","81.88","137.15","41.75","47,799","39,13,919.30","883"
"28-Sep-2022","EQ","84.90","84.90","78.65","82.75","79.60","79.55","80.65","137.15","41.75","80,130","64,62,406.10","1,232"
"27-Sep-2022","EQ","83.00","84.05","82.15","82.05","83.10","82.75","82.89","137.15","41.75","34,362","28,48,325.90","739"
"26-Sep-2022","EQ","85.35","86.95","81.25","85.35","82.25","82.05","82.43","137.15","41.75","64,151","52,87,719.45","1,361"
"23-Sep-2022","EQ","88.60","88.60","85.00","86.85","85.00","85.35","86.14","137.15","38.50","64,894","55,90,185.85","1,217"
"22-Sep-2022","EQ","87.00","88.05","86.05","87.40","87.30","86.85","87.03","137.15","38.50","45,899","39,94,717.90","849"
"21-Sep-2022","EQ","88.90","89.00","87.00","87.25","87.00","87.40","87.96","137.15","38.50","41,892","36,84,835.05","790"
"20-Sep-2022","EQ","89.90","89.95","86.15","88.10","87.15","87.25","88.47","137.15","38.50","60,107","53,17,880.65","1,214"
"19-Sep-2022","EQ","89.95","89.95","86.00","88.65","88.00","88.10","88.27","137.15","38.50","68,031","60,04,887.35","1,174"
"16-Sep-2022","EQ","91.65","92.60","88.20","91.65","89.00","88.65","90.67","137.15","38.10","1,52,352","1,38,14,348.75","2,183"
"15-Sep-2022","EQ","89.40","91.80","87.55","87.45","91.80","91.65","91.10","137.15","38.10","2,53,129","2,30,59,171.05","2,101"
"14-Sep-2022","EQ","87.00","88.75","84.15","88.20","87.50","87.45","87.40","137.15","38.10","69,772","60,97,883.30","1,036"
"13-Sep-2022","EQ","87.00","89.00","87.00","87.05","88.00","88.20","87.81","137.15","38.10","61,715","54,19,012.60","958"
"12-Sep-2022","EQ","86.70","88.60","86.70","87.00","87.00","87.05","87.65","137.15","38.10","52,132","45,69,406.25","732"
"09-Sep-2022","EQ","88.90","88.90","86.60","88.10","87.40","87.00","87.85","137.15","38.00","99,921","87,77,891.90","1,067"
"08-Sep-2022","EQ","88.00","88.90","88.00","88.00","88.00","88.10","88.27","137.15","38.00","57,549","50,79,931.45","792"
"07-Sep-2022","EQ","89.70","89.75","87.50","89.65","87.85","88.00","88.43","137.15","38.00","79,228","70,06,057.85","1,138"
"06-Sep-2022","EQ","90.90","90.90","88.90","89.50","89.60","89.65","89.71","137.15","38.00","48,988","43,94,488.30","742"
"05-Sep-2022","EQ","90.40","90.40","89.00","89.45","89.55","89.50","89.64","137.15","38.00","59,471","53,30,738.75","948"
"02-Sep-2022","EQ","89.70","90.50","88.10","89.70","89.05","89.45","89.60","137.15","37.30","87,936","78,79,215.20","1,157"
"01-Sep-2022","EQ","89.75","92.25","88.75","89.80","89.90","89.70","90.00","137.15","37.30","76,523","68,86,965.75","1,113"
"30-Aug-2022","EQ","91.25","92.70","89.05","90.35","89.80","89.80","91.23","137.15","37.30","1,04,796","95,60,966.35","1,356"
"29-Aug-2022","EQ","89.10","90.95","86.65","90.90","90.70","90.35","89.40","137.15","37.30","1,08,994","97,43,665.30","1,398"
"26-Aug-2022","EQ","94.90","95.35","88.60","92.15","90.90","90.90","91.59","137.15","35.85","2,02,713","1,85,67,457.45","2,781"
"25-Aug-2022","EQ","91.00","92.15","90.00","87.80","92.15","92.15","91.75","137.15","35.85","3,40,084","3,12,04,041.30","2,952"
"24-Aug-2022","EQ","85.60","87.80","85.35","83.65","87.80","87.80","87.11","137.15","35.85","76,571","66,70,197.55","971"
"23-Aug-2022","EQ","80.00","83.65","78.00","79.70","83.65","83.65","81.95","137.15","35.85","77,863","63,80,909.80","1,226"
"22-Aug-2022","EQ","83.00","83.00","79.00","83.00","79.50","79.70","80.79","137.15","35.85","92,724","74,91,387.25","1,452"
"19-Aug-2022","EQ","83.00","83.60","82.75","83.60","82.75","83.00","83.08","137.15","35.85","49,573","41,18,584.35","1,013"
"18-Aug-2022","EQ","84.50","84.50","83.20","83.85","83.70","83.60","83.76","137.15","35.85","55,279","46,30,428.65","953"
"17-Aug-2022","EQ","84.00","84.75","80.00","83.35","83.60","83.85","83.16","137.15","35.85","93,857","78,05,013.15","1,205"
"16-Aug-2022","EQ","84.30","84.65","83.05","83.45","83.10","83.35","83.70","137.15","35.85","87,630","73,34,529.80","1,153"
"12-Aug-2022","EQ","84.20","84.30","82.30","83.35","83.40","83.45","83.37","137.15","35.85","64,962","54,16,140.05","993"
"11-Aug-2022","EQ","81.60","83.50","80.70","81.25","83.50","83.35","82.48","137.15","35.85","92,019","75,89,388.95","991"
