"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Dec-2022","EQ","46.99","46.99","46.62","46.61","46.83","46.79","46.83","52.45","37.60","29,45,907","13,79,63,117.48","11,832"
"29-Dec-2022","EQ","46.90","46.92","46.56","46.55","46.69","46.61","46.67","52.45","37.60","44,03,064","20,54,76,782.97","10,343"
"28-Dec-2022","EQ","47.10","47.10","46.51","46.87","46.55","46.55","46.76","52.45","37.60","22,88,068","10,70,01,071.06","12,443"
"27-Dec-2022","EQ","46.94","46.94","46.59","46.69","46.88","46.87","46.82","52.45","37.60","31,04,361","14,53,61,043.42","21,501"
"26-Dec-2022","EQ","47.12","47.12","46.51","46.69","46.66","46.69","46.72","52.45","37.60","61,23,432","28,60,62,244.19","26,253"
"23-Dec-2022","EQ","46.74","46.74","46.37","46.87","46.72","46.69","46.61","52.45","37.60","60,51,020","28,20,08,561.43","29,430"
"22-Dec-2022","EQ","47.28","47.28","46.68","46.86","46.77","46.87","46.95","52.45","37.60","48,41,450","22,73,16,227.54","20,653"
"21-Dec-2022","EQ","47.11","47.11","46.78","46.75","46.90","46.86","46.91","52.45","37.60","39,14,662","18,36,48,688.10","21,841"
"20-Dec-2022","EQ","46.38","46.80","45.83","46.42","46.73","46.75","46.56","52.45","37.60","32,31,954","15,04,74,096.11","18,657"
"19-Dec-2022","EQ","46.47","46.71","46.22","46.10","46.42","46.42","46.39","52.45","37.60","35,89,858","16,65,19,613.42","28,111"
"16-Dec-2022","EQ","45.83","46.41","45.83","46.03","46.15","46.10","46.11","52.45","37.60","21,41,668","9,87,60,948.21","13,342"
"15-Dec-2022","EQ","46.48","46.49","45.91","46.54","46.07","46.03","46.16","52.45","37.60","26,70,575","12,32,68,439.47","15,051"
"14-Dec-2022","EQ","46.58","48.90","46.21","46.16","46.52","46.54","46.63","52.45","37.60","23,11,017","10,77,57,298.89","14,441"
"13-Dec-2022","EQ","46.35","46.75","45.86","46.19","46.20","46.16","46.17","52.45","37.60","27,40,609","12,65,28,337.20","12,603"
"12-Dec-2022","EQ","46.38","46.38","45.86","46.11","46.20","46.19","46.21","52.45","37.60","32,57,599","15,05,43,461.37","19,510"
"09-Dec-2022","EQ","46.39","46.39","46.01","46.06","46.14","46.11","46.16","52.45","37.60","17,22,820","7,95,18,849.69","15,626"
"08-Dec-2022","EQ","46.21","46.21","45.68","45.84","46.04","46.06","46.03","52.45","37.60","16,18,610","7,45,05,582.16","13,472"
"07-Dec-2022","EQ","46.08","46.08","45.58","45.82","45.88","45.84","45.85","52.45","37.60","15,02,324","6,88,84,086.84","12,076"
"06-Dec-2022","EQ","45.97","45.97","45.52","46.09","45.83","45.82","45.75","52.45","37.60","23,39,290","10,70,13,071.31","16,174"
"05-Dec-2022","EQ","46.30","46.30","45.81","45.88","46.07","46.09","46.09","52.45","37.60","36,22,012","16,69,44,881.94","29,477"
"02-Dec-2022","EQ","46.03","46.03","45.52","45.37","45.91","45.88","45.78","52.45","37.60","41,02,571","18,78,28,197.47","16,679"
"01-Dec-2022","EQ","45.51","45.56","45.16","45.10","45.42","45.37","45.34","52.45","37.60","35,94,010","16,29,66,295.95","18,286"
"30-Nov-2022","EQ","45.21","45.26","45.00","45.10","45.12","45.10","45.07","52.45","37.60","19,84,004","8,94,17,771.04","12,067"
"29-Nov-2022","EQ","45.06","45.15","44.54","45.12","45.11","45.10","45.06","52.45","37.60","24,38,774","10,98,84,294.29","11,641"
"28-Nov-2022","EQ","45.26","45.26","44.71","44.98","45.18","45.12","45.05","52.45","37.60","34,09,844","15,35,97,074.47","15,995"
"25-Nov-2022","EQ","45.30","45.31","44.88","45.04","45.04","44.98","45.03","52.45","37.60","19,10,506","8,60,30,216.96","12,718"
"24-Nov-2022","EQ","45.28","45.28","44.76","44.77","45.03","45.04","45.03","52.45","37.60","40,73,101","18,34,19,798.42","10,184"
