"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"02-May-2025","EQ","4,499.00","4,597.00","4,478.00","4,487.90","4,495.00","4,492.40","4,534.99","5,674.75","3,046.05","20,11,823","9,12,36,05,958.80","1,25,497"
"30-Apr-2025","EQ","4,610.00","4,637.00","4,466.20","4,609.30","4,480.00","4,487.90","4,514.37","5,674.75","3,046.05","25,13,611","11,34,73,78,720.00","1,77,449"
"29-Apr-2025","EQ","4,473.00","4,660.00","4,448.50","4,426.30","4,610.00","4,609.30","4,570.53","5,674.75","3,046.05","51,85,900","23,70,22,98,546.80","2,83,148"
"28-Apr-2025","EQ","4,209.90","4,439.90","4,200.50","4,196.40","4,430.00","4,426.30","4,385.74","5,674.75","3,046.05","40,14,638","17,60,71,73,804.00","2,42,242"
"25-Apr-2025","EQ","4,305.00","4,339.00","4,147.50","4,300.00","4,190.00","4,196.40","4,216.83","5,674.75","3,046.05","22,98,293","9,69,15,09,639.50","1,55,239"
"24-Apr-2025","EQ","4,307.00","4,364.80","4,291.30","4,307.00","4,294.90","4,300.00","4,320.16","5,674.75","3,046.05","15,54,043","6,71,37,09,968.30","75,747"
"23-Apr-2025","EQ","4,304.90","4,360.00","4,255.30","4,286.00","4,305.00","4,307.00","4,313.74","5,674.75","3,046.05","18,03,742","7,78,08,71,913.60","1,11,908"
"22-Apr-2025","EQ","4,328.00","4,338.90","4,272.00","4,309.10","4,280.00","4,286.00","4,305.91","5,674.75","3,046.05","12,24,641","5,27,31,91,748.70","79,638"
"21-Apr-2025","EQ","4,248.00","4,336.00","4,225.00","4,220.40","4,308.00","4,309.10","4,301.88","5,674.75","3,046.05","15,08,314","6,48,85,84,175.10","95,107"
"17-Apr-2025","EQ","4,209.00","4,253.00","4,192.10","4,209.20","4,220.00","4,220.40","4,226.32","5,674.75","3,046.05","12,16,496","5,14,13,01,986.80","83,639"
"16-Apr-2025","EQ","4,215.00","4,242.00","4,171.30","4,206.10","4,206.00","4,209.20","4,211.97","5,674.75","3,046.05","14,87,536","6,26,54,56,181.00","1,00,452"
"15-Apr-2025","EQ","4,250.00","4,250.00","4,170.80","4,107.20","4,205.50","4,206.10","4,200.27","5,674.75","3,046.05","15,72,706","6,60,57,94,101.40","98,338"
"11-Apr-2025","EQ","4,075.00","4,142.70","4,066.65","4,030.70","4,101.05","4,107.20","4,106.43","5,674.75","3,046.05","15,18,828","6,23,69,68,362.95","1,16,500"
"09-Apr-2025","EQ","4,037.00","4,070.00","3,965.85","4,041.95","4,040.10","4,030.70","4,016.86","5,674.75","3,046.05","15,85,051","6,36,69,31,733.80","1,10,415"
"08-Apr-2025","EQ","4,106.60","4,136.40","4,000.00","4,008.20","4,059.00","4,041.95","4,049.99","5,674.75","3,046.05","20,71,394","8,38,91,35,050.40","1,28,097"
"07-Apr-2025","EQ","3,821.00","4,046.15","3,820.10","4,239.10","4,033.95","4,008.20","3,964.03","5,674.75","3,046.05","30,22,372","11,98,07,77,791.50","2,03,840"
"04-Apr-2025","EQ","4,309.55","4,351.85","4,204.00","4,319.20","4,238.00","4,239.10","4,269.18","5,674.75","3,046.05","24,99,556","10,67,10,62,241.95","1,37,609"
"03-Apr-2025","EQ","4,196.55","4,328.00","4,185.25","4,234.40","4,315.00","4,319.20","4,271.44","5,674.75","3,046.05","23,69,383","10,12,06,66,641.45","1,32,547"
"02-Apr-2025","EQ","4,239.00","4,252.50","4,151.05","4,223.70","4,231.00","4,234.40","4,212.43","5,674.75","3,046.05","25,20,516","10,61,75,04,504.85","1,50,926"
"01-Apr-2025","EQ","4,400.00","4,444.95","4,207.05","4,177.45","4,225.80","4,223.70","4,324.05","5,674.75","3,046.05","66,32,420","28,67,89,06,495.85","3,48,688"
"28-Mar-2025","EQ","4,198.10","4,294.00","4,161.35","4,160.95","4,179.90","4,177.45","4,228.75","5,674.75","3,046.05","32,95,702","13,93,67,01,384.65","1,93,114"
"27-Mar-2025","EQ","4,150.00","4,209.00","4,120.70","4,128.30","4,170.00","4,160.95","4,170.19","5,674.75","3,046.05","29,66,370","12,37,03,34,258.95","1,56,133"
"26-Mar-2025","EQ","4,035.00","4,185.00","3,971.05","4,012.45","4,135.70","4,128.30","4,099.73","5,674.75","3,046.05","48,82,801","20,01,81,82,695.95","2,90,319"
"25-Mar-2025","EQ","4,200.40","4,215.00","4,000.80","4,129.80","4,006.00","4,012.45","4,097.36","5,674.75","3,046.05","36,34,045","14,89,00,04,427.05","2,10,998"
"24-Mar-2025","EQ","3,953.00","4,158.00","3,940.20","3,891.25","4,143.00","4,129.80","4,073.70","5,674.75","3,046.05","42,51,655","17,31,99,50,698.20","2,44,566"
"21-Mar-2025","EQ","3,849.00","3,947.45","3,812.50","3,818.95","3,884.00","3,891.25","3,896.15","5,674.75","2,913.60","33,11,452","12,90,19,16,696.70","1,73,991"
"20-Mar-2025","EQ","3,789.00","3,848.00","3,704.15","3,740.65","3,824.00","3,818.95","3,782.57","5,674.75","2,913.60","29,56,442","11,18,29,63,064.70","1,54,453"
"19-Mar-2025","EQ","3,600.00","3,772.40","3,577.55","3,579.95","3,739.00","3,740.65","3,686.18","5,674.75","2,913.60","29,13,829","10,74,09,12,416.90","1,44,762"
"18-Mar-2025","EQ","3,500.00","3,589.80","3,470.55","3,439.90","3,586.00","3,579.95","3,545.64","5,674.75","2,913.60","20,24,740","7,17,90,02,486.05","1,15,190"
"17-Mar-2025","EQ","3,400.00","3,484.00","3,399.00","3,396.15","3,441.00","3,439.90","3,442.37","5,674.75","2,913.60","11,30,061","3,89,00,86,120.20","77,332"
"13-Mar-2025","EQ","3,435.00","3,485.60","3,390.85","3,415.40","3,398.00","3,396.15","3,440.23","5,674.75","2,913.60","12,29,721","4,23,05,17,046.20","91,257"
"12-Mar-2025","EQ","3,470.00","3,494.25","3,388.25","3,459.85","3,410.05","3,415.40","3,423.92","5,674.75","2,913.60","10,76,349","3,68,53,34,422.70","70,098"
"11-Mar-2025","EQ","3,390.65","3,471.00","3,355.00","3,417.90","3,468.30","3,459.85","3,433.08","5,674.75","2,913.60","15,02,808","5,15,92,56,365.05","99,028"
"10-Mar-2025","EQ","3,452.05","3,538.95","3,410.00","3,452.05","3,410.00","3,417.90","3,471.79","5,674.75","2,913.60","21,50,456","7,46,59,29,806.15","1,18,296"
"07-Mar-2025","EQ","3,418.65","3,502.00","3,371.65","3,417.70","3,450.60","3,452.05","3,458.64","5,674.75","2,913.60","17,32,838","5,99,32,67,811.15","1,21,833"
"06-Mar-2025","EQ","3,472.00","3,497.00","3,405.25","3,424.50","3,411.00","3,417.70","3,433.63","5,674.75","2,913.60","13,31,348","4,57,13,60,960.05","95,636"
"05-Mar-2025","EQ","3,313.00","3,435.95","3,295.95","3,311.15","3,427.90","3,424.50","3,388.06","5,674.75","2,913.60","18,84,731","6,38,55,79,876.40","1,14,367"
"04-Mar-2025","EQ","3,162.00","3,330.00","3,108.95","3,187.05","3,310.00","3,311.15","3,282.64","5,674.75","2,913.60","25,98,027","8,52,83,84,632.50","1,66,532"
"03-Mar-2025","EQ","3,096.00","3,204.95","3,046.05","3,088.20","3,193.95","3,187.05","3,123.34","5,674.75","2,913.60","23,06,313","7,20,34,01,093.45","1,59,146"
"28-Feb-2025","EQ","3,202.00","3,224.80","3,080.00","3,242.65","3,095.00","3,088.20","3,135.84","5,674.75","2,913.60","24,13,864","7,56,94,80,827.70","1,87,871"
"27-Feb-2025","EQ","3,300.00","3,316.70","3,230.00","3,287.40","3,238.90","3,242.65","3,263.72","5,674.75","2,913.60","15,73,040","5,13,39,60,088.80","1,23,612"
"25-Feb-2025","EQ","3,350.50","3,377.05","3,270.00","3,350.40","3,278.30","3,287.40","3,321.95","5,674.75","2,913.60","11,35,200","3,77,10,80,903.25","89,318"
"24-Feb-2025","EQ","3,350.00","3,357.95","3,294.05","3,368.50","3,348.00","3,350.40","3,330.85","5,674.75","2,913.60","10,26,035","3,41,75,64,849.25","85,700"
