"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"29-Dec-2023","EQ","139.99","141.05","139.50","139.91","140.57","140.57","140.38","143.25","85.00","1,75,658","2,46,58,360.55","2,258"
"28-Dec-2023","EQ","139.98","140.48","138.45","139.31","139.98","139.91","139.91","143.25","85.00","2,40,088","3,35,91,336.54","2,096"
"27-Dec-2023","EQ","139.06","139.59","138.41","138.84","139.31","139.31","139.30","143.25","85.00","1,17,241","1,63,31,781.73","1,860"
"26-Dec-2023","EQ","141.00","141.00","138.52","139.48","138.90","138.84","138.86","143.25","85.00","2,81,822","3,91,32,920.16","3,337"
"22-Dec-2023","EQ","141.25","143.25","137.30","137.14","138.10","139.48","138.65","143.25","85.00","1,83,064","2,53,81,359.99","1,897"
"21-Dec-2023","EQ","139.25","139.25","132.23","135.21","137.90","137.14","134.92","140.65","85.00","3,60,778","4,86,74,890.26","3,478"
"20-Dec-2023","EQ","140.44","140.65","134.50","139.11","136.00","135.21","136.77","140.65","85.00","4,83,441","6,61,17,971.83","5,619"
"19-Dec-2023","EQ","139.61","140.36","138.47","139.61","139.20","139.11","139.34","140.36","85.00","2,18,157","3,03,97,364.95","2,104"
"18-Dec-2023","EQ","139.50","140.10","138.22","138.87","139.50","139.61","139.46","140.10","85.00","1,73,919","2,42,54,568.42","2,092"
"15-Dec-2023","EQ","138.40","139.47","138.22","138.22","138.91","138.87","138.76","140.01","85.00","1,28,523","1,78,33,470.01","1,633"
"14-Dec-2023","EQ","136.68","139.69","136.60","136.68","138.33","138.22","137.93","140.01","85.00","1,31,404","1,81,23,901.47","1,729"
"13-Dec-2023","EQ","137.00","137.00","135.50","135.91","137.00","136.68","136.34","140.01","85.00","1,99,573","2,72,10,205.49","1,776"
"12-Dec-2023","EQ","136.70","137.37","135.01","136.20","136.00","135.91","136.29","140.01","85.00","1,04,760","1,42,77,740.57","2,081"
"11-Dec-2023","EQ","135.89","136.42","135.51","135.36","136.40","136.20","136.04","140.01","85.00","1,09,696","1,49,22,873.56","1,783"
"08-Dec-2023","EQ","138.00","138.00","134.50","136.50","135.54","135.36","135.81","140.01","85.00","2,55,651","3,47,20,774.21","3,121"
"07-Dec-2023","EQ","136.69","139.80","134.91","136.02","136.60","136.50","136.37","140.01","85.00","1,17,807","1,60,65,378.81","1,455"
"06-Dec-2023","EQ","136.45","136.78","135.11","135.77","135.81","136.02","135.90","140.01","85.00","1,18,591","1,61,16,268.64","1,837"
"05-Dec-2023","EQ","138.94","138.94","134.75","135.87","136.00","135.77","135.89","140.01","85.00","1,80,193","2,44,86,792.38","2,361"
"04-Dec-2023","EQ","135.00","140.01","134.00","133.57","135.95","135.87","135.43","140.01","85.00","2,40,065","3,25,12,737.44","2,570"
