"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Dec-2022","EQ","2,040.00","2,047.35","2,001.15","2,015.65","2,001.15","2,007.70","2,021.83","2,282.10","1,511.75","3,71,770","75,16,54,507.80","17,459"
"29-Dec-2022","EQ","2,005.00","2,026.70","1,986.00","2,015.20","2,025.00","2,015.65","2,003.78","2,282.10","1,511.75","5,08,658","1,01,92,40,057.05","24,028"
"28-Dec-2022","EQ","2,019.90","2,053.45","2,008.55","2,027.75","2,015.00","2,015.20","2,027.90","2,282.10","1,511.75","5,52,390","1,12,01,92,641.65","23,926"
"27-Dec-2022","EQ","1,963.00","2,034.50","1,962.00","1,958.30","2,023.00","2,027.75","2,001.07","2,282.10","1,511.75","6,50,703","1,30,21,02,865.15","25,208"
"26-Dec-2022","EQ","1,910.00","1,963.00","1,895.25","1,914.25","1,962.85","1,958.30","1,938.14","2,282.10","1,511.75","2,32,709","45,10,23,749.65","11,246"
"23-Dec-2022","EQ","1,951.00","1,959.95","1,893.90","1,977.10","1,909.85","1,914.25","1,918.47","2,282.10","1,511.75","11,93,836","2,29,03,42,421.80","38,548"
"22-Dec-2022","EQ","1,985.90","2,015.95","1,958.25","2,016.25","1,970.85","1,977.10","1,987.06","2,282.10","1,511.75","10,88,470","2,16,28,54,681.95","40,383"
"21-Dec-2022","EQ","2,070.95","2,084.30","1,983.00","2,063.80","2,010.00","2,016.25","2,039.34","2,282.10","1,511.75","12,06,297","2,46,00,44,017.80","48,347"
"20-Dec-2022","EQ","2,034.90","2,100.00","2,007.05","2,027.10","2,060.00","2,063.80","2,061.55","2,282.10","1,511.75","17,40,107","3,58,73,23,604.40","69,920"
"19-Dec-2022","EQ","1,965.00","2,032.45","1,945.30","1,962.40","2,032.00","2,027.10","1,998.30","2,282.10","1,511.75","4,63,961","92,71,33,071.00","25,226"
"16-Dec-2022","EQ","2,017.95","2,028.95","1,955.55","2,015.00","1,959.15","1,962.40","1,987.36","2,282.10","1,511.75","4,61,827","91,78,17,221.10","26,082"
"15-Dec-2022","EQ","2,014.95","2,025.40","1,998.00","2,015.70","2,013.20","2,015.00","2,010.65","2,282.10","1,511.75","3,04,652","61,25,47,141.40","17,238"
"14-Dec-2022","EQ","2,038.00","2,041.60","2,011.00","2,030.45","2,020.00","2,015.70","2,022.26","2,282.10","1,511.75","3,00,111","60,69,03,768.20","13,247"
"13-Dec-2022","EQ","2,052.95","2,052.95","2,020.50","2,053.95","2,029.95","2,030.45","2,034.88","2,282.10","1,511.75","5,19,818","1,05,77,69,083.25","20,804"
"12-Dec-2022","EQ","2,002.50","2,060.00","1,995.00","1,992.05","2,057.25","2,053.95","2,041.10","2,282.10","1,511.75","15,03,825","3,06,94,62,102.00","63,698"
"09-Dec-2022","EQ","2,029.95","2,030.00","1,988.15","2,019.25","1,994.50","1,992.05","2,008.06","2,282.10","1,511.75","6,17,265","1,23,95,03,354.05","27,859"
"08-Dec-2022","EQ","1,978.00","2,025.00","1,968.15","1,973.15","2,020.00","2,019.25","2,004.49","2,282.10","1,511.75","10,38,461","2,08,15,84,749.00","45,108"
"07-Dec-2022","EQ","1,945.25","2,008.75","1,940.45","1,932.85","1,971.00","1,973.15","1,982.87","2,282.10","1,511.75","17,59,557","3,48,89,70,949.05","68,543"
"06-Dec-2022","EQ","1,923.25","1,950.00","1,916.05","1,919.05","1,928.00","1,932.85","1,934.23","2,282.10","1,511.75","4,75,367","91,94,68,955.45","29,820"
"05-Dec-2022","EQ","1,915.00","1,934.45","1,906.25","1,916.50","1,916.00","1,919.05","1,919.28","2,282.10","1,511.75","2,98,145","57,22,23,177.00","21,756"
"02-Dec-2022","EQ","1,936.95","1,952.85","1,912.10","1,944.15","1,912.20","1,916.50","1,926.39","2,282.10","1,511.75","3,83,481","73,87,33,799.25","22,607"
"01-Dec-2022","EQ","1,955.00","1,955.50","1,932.15","1,937.45","1,941.75","1,944.15","1,946.54","2,282.10","1,511.75","4,53,065","88,19,09,870.00","27,724"
"30-Nov-2022","EQ","1,900.00","1,941.65","1,888.60","1,911.35","1,937.00","1,937.45","1,924.57","2,282.10","1,511.75","7,49,904","1,44,32,44,341.25","40,809"
"29-Nov-2022","EQ","1,925.00","1,940.00","1,901.00","1,913.30","1,910.80","1,911.35","1,913.55","2,282.10","1,511.75","5,67,704","1,08,63,30,194.30","25,485"
"28-Nov-2022","EQ","1,916.50","1,952.00","1,906.10","1,906.95","1,921.00","1,913.30","1,931.79","2,282.10","1,511.75","8,19,638","1,58,33,65,522.10","37,472"
"25-Nov-2022","EQ","1,910.00","1,912.95","1,876.00","1,897.30","1,901.00","1,906.95","1,898.43","2,282.10","1,511.75","3,55,530","67,49,49,376.05","17,889"
"24-Nov-2022","EQ","1,910.00","1,968.00","1,888.00","1,893.35","1,894.00","1,897.30","1,932.43","2,282.10","1,511.75","21,02,042","4,06,20,55,240.95","68,519"
