"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Feb-2025","EQ","1,231.00","1,234.50","1,155.40","1,241.40","1,174.00","1,162.20","1,176.83","1,720.30","1,155.40","1,03,456","12,17,49,994.90","18,886"
"10-Feb-2025","EQ","1,256.85","1,261.15","1,220.00","1,255.20","1,230.00","1,241.40","1,239.25","1,720.30","1,170.00","91,786","11,37,46,020.10","14,304"
"07-Feb-2025","EQ","1,270.00","1,270.50","1,248.75","1,274.75","1,259.90","1,255.20","1,257.12","1,720.30","1,170.00","16,640","2,09,18,458.95","5,015"
"06-Feb-2025","EQ","1,274.45","1,292.00","1,264.00","1,269.10","1,275.20","1,274.75","1,279.37","1,720.30","1,170.00","35,185","4,50,14,457.85","5,165"
"05-Feb-2025","EQ","1,283.75","1,287.30","1,265.00","1,281.70","1,273.95","1,269.10","1,272.60","1,720.30","1,170.00","23,998","3,05,39,869.45","6,105"
"04-Feb-2025","EQ","1,263.85","1,304.00","1,240.75","1,263.85","1,276.45","1,281.70","1,275.01","1,720.30","1,170.00","40,462","5,15,89,555.10","7,935"
"03-Feb-2025","EQ","1,278.05","1,313.90","1,254.60","1,278.05","1,271.65","1,263.85","1,273.71","1,720.30","1,170.00","44,829","5,70,98,991.20","9,132"
"01-Feb-2025","EQ","1,276.00","1,289.95","1,235.00","1,267.20","1,279.05","1,278.05","1,274.26","1,720.30","1,170.00","44,975","5,73,09,730.50","8,037"
"31-Jan-2025","EQ","1,256.00","1,273.90","1,240.25","1,256.00","1,261.00","1,267.20","1,255.67","1,720.30","1,170.00","23,208","2,91,41,674.05","6,505"
"30-Jan-2025","EQ","1,216.00","1,265.45","1,216.00","1,211.00","1,258.00","1,256.00","1,251.28","1,720.30","1,170.00","33,333","4,17,08,854.25","6,765"
"29-Jan-2025","EQ","1,198.70","1,239.00","1,198.70","1,195.25","1,224.30","1,211.00","1,220.02","1,720.30","1,170.00","73,424","8,95,78,507.10","15,349"
"28-Jan-2025","EQ","1,189.95","1,215.40","1,170.00","1,196.25","1,199.45","1,195.25","1,189.55","1,720.30","1,170.00","46,410","5,52,06,899.25","10,194"
"27-Jan-2025","EQ","1,220.15","1,224.05","1,180.00","1,227.15","1,202.00","1,196.25","1,192.86","1,720.30","1,180.00","78,239","9,33,28,292.35","12,241"
"24-Jan-2025","EQ","1,259.55","1,290.70","1,223.10","1,259.55","1,225.00","1,227.15","1,252.44","1,720.30","1,219.95","81,842","10,25,02,011.70","11,937"
"23-Jan-2025","EQ","1,246.85","1,272.30","1,234.15","1,249.35","1,258.35","1,259.55","1,256.13","1,720.30","1,219.95","26,409","3,31,73,157.25","5,986"
"22-Jan-2025","EQ","1,247.00","1,254.00","1,230.00","1,247.95","1,249.00","1,249.35","1,240.87","1,720.30","1,219.95","37,930","4,70,66,067.65","8,702"
"21-Jan-2025","EQ","1,252.95","1,271.15","1,241.05","1,251.95","1,248.15","1,247.95","1,257.19","1,720.30","1,219.95","42,099","5,29,26,614.65","8,700"
"20-Jan-2025","EQ","1,235.00","1,261.10","1,225.70","1,228.30","1,250.00","1,251.95","1,244.96","1,720.30","1,219.95","45,114","5,61,65,276.90","7,290"
"17-Jan-2025","EQ","1,250.15","1,274.65","1,225.10","1,250.10","1,233.20","1,228.30","1,243.49","1,720.30","1,219.95","97,710","12,15,01,781.90","12,123"
"16-Jan-2025","EQ","1,239.00","1,255.00","1,219.95","1,227.15","1,250.00","1,250.10","1,237.75","1,720.30","1,219.95","1,58,473","19,61,50,411.00","10,434"
"15-Jan-2025","EQ","1,261.30","1,264.90","1,224.00","1,254.85","1,227.00","1,227.15","1,239.26","1,720.30","1,224.00","53,512","6,63,15,120.60","8,912"
"14-Jan-2025","EQ","1,232.90","1,267.95","1,232.90","1,251.65","1,251.75","1,254.85","1,253.23","1,720.30","1,232.90","49,577","6,21,31,263.75","8,451"
"13-Jan-2025","EQ","1,277.95","1,300.40","1,245.00","1,287.80","1,260.00","1,251.65","1,266.71","1,720.30","1,245.00","64,799","8,20,81,474.30","10,668"
"10-Jan-2025","EQ","1,326.00","1,330.80","1,278.45","1,326.85","1,292.00","1,287.80","1,300.35","1,720.30","1,250.00","50,458","6,56,12,980.45","9,748"
"09-Jan-2025","EQ","1,328.35","1,350.00","1,325.50","1,327.35","1,331.75","1,326.85","1,336.02","1,720.30","1,250.00","23,850","3,18,63,976.40","5,360"
"08-Jan-2025","EQ","1,370.30","1,370.30","1,322.00","1,356.75","1,332.00","1,327.35","1,333.80","1,720.30","1,250.00","34,598","4,61,46,710.40","7,202"
"07-Jan-2025","EQ","1,341.00","1,364.00","1,341.00","1,341.05","1,350.00","1,356.75","1,353.41","1,720.30","1,250.00","25,062","3,39,19,254.20","5,363"
"06-Jan-2025","EQ","1,395.75","1,396.70","1,320.90","1,395.75","1,341.15","1,341.05","1,354.45","1,720.30","1,250.00","62,615","8,48,08,723.55","11,666"
"03-Jan-2025","EQ","1,410.00","1,412.95","1,390.00","1,411.30","1,395.00","1,395.75","1,398.72","1,720.30","1,250.00","30,868","4,31,75,675.55","5,215"
"02-Jan-2025","EQ","1,390.00","1,415.00","1,380.00","1,384.10","1,414.95","1,411.30","1,395.07","1,720.30","1,250.00","36,497","5,09,15,881.60","6,235"
"01-Jan-2025","EQ","1,402.05","1,408.95","1,379.00","1,402.05","1,395.00","1,384.10","1,393.85","1,720.30","1,250.00","35,421","4,93,71,703.25","5,362"
