"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"29-Apr-2025","EQ","1,482.00","1,509.80","1,474.10","1,482.10","1,498.00","1,497.50","1,495.87","2,006.45","1,307.00","80,56,743","12,05,18,62,382.60","2,07,221"
"28-Apr-2025","EQ","1,480.20","1,489.60","1,465.30","1,480.20","1,481.00","1,482.10","1,478.19","2,006.45","1,307.00","58,86,253","8,70,10,29,482.70","1,46,345"
"25-Apr-2025","EQ","1,475.50","1,501.70","1,463.50","1,471.40","1,480.00","1,480.20","1,484.47","2,006.45","1,307.00","83,29,979","12,36,55,98,001.80","1,99,876"
"24-Apr-2025","EQ","1,469.90","1,482.90","1,461.50","1,474.90","1,473.00","1,471.40","1,471.62","2,006.45","1,307.00","71,14,292","10,46,95,60,317.20","1,75,991"
"23-Apr-2025","EQ","1,446.00","1,487.80","1,439.60","1,422.80","1,476.20","1,474.90","1,471.47","2,006.45","1,307.00","1,11,36,642","16,38,71,81,464.50","2,49,560"
"22-Apr-2025","EQ","1,440.00","1,440.00","1,419.30","1,451.00","1,423.00","1,422.80","1,425.14","2,006.45","1,307.00","93,99,738","13,39,59,56,021.30","2,45,817"
"21-Apr-2025","EQ","1,410.00","1,471.80","1,410.00","1,419.50","1,449.00","1,451.00","1,452.45","2,006.45","1,307.00","1,56,48,970","22,72,93,78,761.10","2,71,048"
"17-Apr-2025","EQ","1,398.00","1,429.80","1,378.30","1,413.10","1,427.70","1,419.50","1,400.17","2,006.45","1,307.00","1,42,64,227","19,97,23,55,994.00","3,49,779"
"16-Apr-2025","EQ","1,425.00","1,427.50","1,396.80","1,426.00","1,412.20","1,413.10","1,409.87","2,006.45","1,307.00","1,20,22,740","16,95,05,24,011.30","3,31,555"
"15-Apr-2025","EQ","1,445.60","1,447.70","1,409.00","1,409.45","1,430.40","1,426.00","1,424.37","2,006.45","1,307.00","1,01,78,530","14,49,79,63,348.80","2,58,203"
"11-Apr-2025","EQ","1,411.25","1,438.80","1,397.05","1,403.70","1,416.80","1,409.45","1,418.10","2,006.45","1,307.00","1,25,67,440","17,82,18,40,695.45","2,62,867"
"09-Apr-2025","EQ","1,405.05","1,409.45","1,381.90","1,428.80","1,402.00","1,403.70","1,396.23","2,006.45","1,307.00","85,46,854","11,93,33,54,452.15","2,20,436"
"08-Apr-2025","EQ","1,431.00","1,456.50","1,415.00","1,396.75","1,428.00","1,428.80","1,435.73","2,006.45","1,307.00","1,28,05,001","18,38,44,91,521.00","2,54,762"
"07-Apr-2025","EQ","1,352.00","1,405.90","1,307.00","1,451.65","1,404.90","1,396.75","1,365.23","2,006.45","1,307.00","2,17,15,252","29,64,62,33,824.90","4,45,720"
"04-Apr-2025","EQ","1,460.50","1,472.00","1,448.00","1,496.50","1,456.10","1,451.65","1,458.65","2,006.45","1,358.35","95,90,254","13,98,88,55,633.45","2,45,192"
"03-Apr-2025","EQ","1,534.65","1,534.65","1,485.05","1,550.15","1,495.80","1,496.50","1,499.79","2,006.45","1,358.35","1,04,59,504","15,68,70,69,999.20","3,90,507"
"02-Apr-2025","EQ","1,535.20","1,555.65","1,535.20","1,526.50","1,550.00","1,550.15","1,547.09","2,006.45","1,358.35","61,93,478","9,58,18,59,877.35","1,83,381"
"01-Apr-2025","EQ","1,539.25","1,547.40","1,517.85","1,570.65","1,530.20","1,526.50","1,529.41","2,006.45","1,358.35","1,26,80,733","19,39,40,47,386.75","3,28,764"
"28-Mar-2025","EQ","1,590.00","1,598.45","1,560.00","1,603.55","1,569.00","1,570.65","1,576.42","2,006.45","1,358.35","67,99,047","10,71,81,60,396.85","2,17,515"
"27-Mar-2025","EQ","1,595.55","1,619.95","1,586.00","1,599.45","1,605.00","1,603.55","1,601.41","2,006.45","1,358.35","94,26,573","15,09,58,08,795.90","2,01,020"
"26-Mar-2025","EQ","1,626.00","1,637.75","1,595.00","1,628.45","1,599.00","1,599.45","1,610.78","2,006.45","1,358.35","66,51,302","10,71,37,71,940.10","2,22,554"
