"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2021","EQ","39.79","39.93","39.33","39.60","39.70","39.65","39.71","40.00","24.00","34,65,196","13,75,93,822.46","3,801"
"30-Dec-2021","EQ","39.17","39.80","38.93","39.17","39.64","39.60","39.55","40.00","24.00","6,41,964","2,53,91,976.86","3,391"
"29-Dec-2021","EQ","39.39","39.39","39.01","39.20","39.20","39.17","39.23","40.00","24.00","4,20,611","1,65,01,687.65","3,042"
"28-Dec-2021","EQ","38.75","39.40","38.75","38.83","39.24","39.20","39.19","40.00","24.00","6,77,408","2,65,45,908.74","3,377"
"27-Dec-2021","EQ","38.79","39.20","38.22","38.70","38.87","38.83","38.60","40.00","24.00","9,64,232","3,72,20,165.71","4,548"
"24-Dec-2021","EQ","38.42","38.80","38.30","38.11","38.79","38.70","38.64","40.00","22.44","23,33,065","9,01,48,762.67","3,211"
"23-Dec-2021","EQ","37.82","38.35","37.45","37.83","38.25","38.11","38.09","40.00","22.44","9,81,494","3,73,81,164.17","2,997"
"22-Dec-2021","EQ","37.85","37.90","37.52","37.49","37.89","37.83","37.77","40.00","22.44","3,49,574","1,32,05,107.23","2,406"
"21-Dec-2021","EQ","37.50","37.70","37.00","36.75","37.46","37.49","37.49","40.00","22.44","7,78,284","2,91,74,005.33","3,024"
"20-Dec-2021","EQ","37.89","37.89","36.40","37.47","36.99","36.75","37.10","40.00","22.44","48,62,578","18,04,08,752.36","6,169"
"17-Dec-2021","EQ","37.20","37.78","36.95","36.86","37.50","37.47","37.47","40.00","22.44","22,03,134","8,25,61,041.26","4,189"
"16-Dec-2021","EQ","36.85","37.19","36.72","36.56","36.91","36.86","36.87","40.00","22.44","2,89,959","1,06,89,468.28","2,175"
"15-Dec-2021","EQ","36.78","37.04","36.36","36.78","36.61","36.56","36.53","40.00","22.44","4,95,132","1,80,87,803.41","2,873"
"14-Dec-2021","EQ","36.97","37.00","36.50","36.83","36.83","36.78","36.80","40.00","22.44","4,88,222","1,79,66,566.05","2,630"
"13-Dec-2021","EQ","37.19","37.92","36.70","36.63","36.89","36.83","37.02","40.00","22.44","6,66,357","2,46,70,290.27","3,254"
"10-Dec-2021","EQ","36.99","36.99","36.41","36.67","36.74","36.63","36.62","40.00","22.07","5,93,722","2,17,41,893.81","2,359"
"09-Dec-2021","EQ","37.51","37.51","36.42","36.68","36.71","36.67","36.64","40.00","22.07","6,58,819","2,41,40,250.91","2,453"
"08-Dec-2021","EQ","36.25","36.87","36.15","35.97","36.71","36.68","36.65","40.00","22.07","8,42,857","3,08,91,322.27","2,639"
"07-Dec-2021","EQ","36.00","36.40","35.64","35.73","36.03","35.97","35.94","40.00","22.07","6,68,157","2,40,10,959.77","3,223"
"06-Dec-2021","EQ","37.00","37.00","35.68","36.76","35.75","35.73","36.06","40.00","22.07","10,27,511","3,70,54,264.99","7,017"
"03-Dec-2021","EQ","37.59","37.59","36.66","36.84","36.77","36.76","36.96","40.00","21.25","8,82,117","3,26,06,551.64","3,135"
"02-Dec-2021","EQ","38.16","38.16","36.21","36.32","36.87","36.84","36.59","40.00","21.25","10,83,003","3,96,24,862.43","2,809"
"01-Dec-2021","EQ","36.35","36.38","35.76","35.95","36.32","36.32","36.29","40.00","21.25","8,41,827","3,05,49,682.81","2,844"
"30-Nov-2021","EQ","35.95","36.39","35.10","35.61","35.84","35.95","36.09","40.00","21.25","10,05,936","3,63,04,695.25","3,256"
"29-Nov-2021","EQ","38.60","38.60","34.92","35.44","35.75","35.61","35.45","40.00","21.25","10,34,034","3,66,60,701.82","5,122"
"26-Nov-2021","EQ","36.12","36.30","35.35","36.03","35.43","35.44","35.62","40.00","21.20","10,00,886","3,56,49,596.77","7,012"
"25-Nov-2021","EQ","36.09","36.18","35.60","35.79","36.12","36.03","35.99","40.00","21.20","4,69,259","1,68,89,668.89","3,118"
"24-Nov-2021","EQ","36.27","36.68","35.70","36.32","35.85","35.79","36.04","40.00","21.20","5,52,844","1,99,25,255.01","4,923"
"23-Nov-2021","EQ","36.43","36.50","35.60","36.43","36.35","36.32","36.06","40.00","21.20","8,97,327","3,23,59,376.95","4,285"
"22-Nov-2021","EQ","40.00","40.00","36.10","36.86","36.62","36.43","36.62","40.00","21.20","7,83,607","2,86,92,782.35","5,553"
"18-Nov-2021","EQ","37.60","37.66","36.70","37.41","36.81","36.86","36.96","38.56","21.20","6,73,336","2,48,84,672.48","4,474"
"17-Nov-2021","EQ","37.41","37.58","37.15","37.43","37.50","37.41","37.45","38.56","21.20","7,13,532","2,67,24,132.03","2,605"
"16-Nov-2021","EQ","37.50","37.60","37.24","37.24","37.41","37.43","37.46","38.56","21.20","8,65,912","3,24,32,766.93","2,744"
"15-Nov-2021","EQ","37.05","37.48","37.00","37.05","37.29","37.24","37.31","38.56","21.20","11,06,679","4,12,87,440.04","3,795"
"12-Nov-2021","EQ","36.28","37.19","36.28","36.28","37.09","37.05","36.86","38.56","21.01","18,00,650","6,63,75,150.45","3,196"
"11-Nov-2021","EQ","36.65","36.65","35.92","36.59","36.40","36.28","36.11","38.56","21.01","11,12,869","4,01,87,249.54","5,020"
"10-Nov-2021","EQ","36.90","37.09","36.34","36.65","36.56","36.59","36.57","38.56","21.01","3,88,082","1,41,93,012.54","2,541"
"09-Nov-2021","EQ","36.65","36.85","36.33","36.50","36.63","36.65","36.69","38.56","21.01","5,89,568","2,16,32,677.30","2,752"
"08-Nov-2021","EQ","35.94","36.59","35.65","36.10","36.55","36.50","36.35","38.56","21.01","9,89,996","3,59,87,101.81","4,058"
"04-Nov-2021","EQ","36.42","36.42","35.94","35.89","36.11","36.10","36.11","38.56","20.56","2,27,382","82,11,733.59","3,690"
"03-Nov-2021","EQ","36.03","36.39","35.55","36.03","35.99","35.89","36.01","38.56","20.56","5,01,752","1,80,68,928.66","2,860"
"02-Nov-2021","EQ","36.40","36.40","35.85","35.97","36.01","36.03","36.09","38.56","20.56","4,28,816","1,54,74,317.42","2,972"
"01-Nov-2021","EQ","35.50","36.04","35.31","35.24","36.00","35.97","35.77","38.56","20.56","8,05,019","2,87,93,401.18","3,986"
"29-Oct-2021","EQ","36.00","36.00","35.10","35.75","35.38","35.24","35.52","38.56","20.56","8,92,255","3,16,89,560.00","6,023"
"28-Oct-2021","EQ","36.19","36.50","35.61","36.19","35.82","35.75","35.92","38.56","20.56","7,17,681","2,57,79,783.36","4,553"
"27-Oct-2021","EQ","36.85","36.85","35.92","35.92","36.25","36.19","36.11","38.56","20.56","3,43,658","1,24,09,805.76","2,614"
"26-Oct-2021","EQ","35.25","36.35","35.25","35.51","35.97","35.92","35.93","38.56","20.56","9,79,884","3,52,07,964.29","3,461"
"25-Oct-2021","EQ","36.09","36.45","35.18","36.09","35.60","35.51","35.39","38.56","20.56","73,13,735","25,88,47,739.76","10,020"
"22-Oct-2021","EQ","37.00","37.00","35.78","36.62","36.08","36.09","36.04","38.56","20.56","50,16,656","18,07,99,463.51","7,797"
"21-Oct-2021","EQ","37.80","37.80","36.30","37.41","36.66","36.62","36.63","38.56","20.56","15,91,987","5,83,06,699.67","7,233"
"20-Oct-2021","EQ","37.94","38.12","37.25","37.70","37.50","37.41","37.58","38.56","20.56","17,01,588","6,39,45,766.38","4,964"
"19-Oct-2021","EQ","37.35","38.11","36.50","36.86","37.75","37.70","37.87","38.56","20.56","70,48,630","26,69,16,406.14","6,729"
"18-Oct-2021","EQ","35.10","36.97","32.00","36.34","36.96","36.86","36.72","38.56","20.56","54,27,616","19,93,20,245.63","5,803"
"14-Oct-2021","EQ","37.15","37.15","36.10","35.87","36.41","36.34","36.34","38.56","20.56","83,32,570","30,28,38,441.63","5,821"
