"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2020","EQ","385.90","393.90","383.00","386.10","386.00","387.20","388.10","393.90","132.50","73,75,061","2,86,22,67,525.15","68,132"
"30-Dec-2020","EQ","382.80","387.90","378.65","381.80","385.20","386.10","382.75","389.65","132.50","46,37,174","1,77,48,84,095.50","50,463"
"29-Dec-2020","EQ","389.65","389.65","378.10","386.60","381.10","381.80","383.00","389.65","132.50","81,44,640","3,11,94,34,721.15","71,337"
"28-Dec-2020","EQ","369.70","389.00","368.80","366.25","387.60","386.60","380.20","389.00","132.50","1,17,20,459","4,45,61,22,764.00","91,371"
"24-Dec-2020","EQ","367.90","378.95","365.00","366.85","366.50","366.25","371.69","378.95","132.50","81,04,991","3,01,25,80,850.30","64,943"
"23-Dec-2020","EQ","361.00","367.70","357.75","361.95","366.85","366.85","363.74","376.20","132.50","44,99,725","1,63,67,27,008.90","42,208"
"22-Dec-2020","EQ","353.75","364.00","346.15","353.50","361.35","361.95","356.53","376.20","132.50","72,73,802","2,59,33,02,697.85","59,302"
"21-Dec-2020","EQ","361.60","368.40","344.00","364.20","350.90","353.50","358.67","376.20","132.50","73,45,501","2,63,46,19,909.65","52,864"
"18-Dec-2020","EQ","368.30","368.95","357.70","366.20","363.20","364.20","363.84","376.20","132.50","56,66,541","2,06,17,04,453.35","48,177"
"17-Dec-2020","EQ","369.95","373.35","364.05","370.60","365.55","366.20","368.93","376.20","132.50","45,01,529","1,66,07,69,617.00","44,025"
"16-Dec-2020","EQ","370.00","372.50","364.50","365.90","370.60","370.60","368.39","376.20","132.50","77,62,252","2,85,95,06,788.05","62,178"
"15-Dec-2020","EQ","358.00","367.00","353.50","357.50","366.40","365.90","360.53","376.20","132.50","59,78,528","2,15,54,33,346.50","59,127"
"14-Dec-2020","EQ","363.95","364.90","356.30","359.65","358.00","357.50","360.31","376.20","132.50","49,27,085","1,77,52,62,509.15","42,798"
"11-Dec-2020","EQ","363.60","366.70","357.60","362.30","359.05","359.65","362.09","376.20","132.50","45,18,654","1,63,61,53,355.25","39,606"
"10-Dec-2020","EQ","362.00","366.45","356.30","361.85","362.25","362.30","361.44","376.20","132.50","64,29,901","2,32,40,36,616.60","46,289"
"09-Dec-2020","EQ","368.00","368.25","359.10","362.65","362.00","361.85","362.65","376.20","132.50","69,23,848","2,51,09,59,237.15","56,400"
"08-Dec-2020","EQ","366.50","367.20","357.55","365.00","362.60","362.65","362.37","376.20","132.50","53,11,652","1,92,47,93,621.40","48,665"
"07-Dec-2020","EQ","370.80","373.20","362.30","370.40","365.50","365.00","366.74","376.20","132.50","60,85,158","2,23,16,82,100.40","49,993"
"04-Dec-2020","EQ","373.00","376.20","363.20","370.85","370.80","370.40","370.39","376.20","132.50","75,70,516","2,80,40,18,665.95","59,030"
"03-Dec-2020","EQ","370.00","374.30","367.70","368.40","370.55","370.85","371.28","374.30","132.50","73,85,497","2,74,20,64,917.75","63,109"
"02-Dec-2020","EQ","357.00","370.75","356.05","358.15","367.45","368.40","365.95","370.75","132.50","1,10,48,627","4,04,32,03,697.50","82,423"
"01-Dec-2020","EQ","354.50","359.00","351.85","350.20","357.60","358.15","355.51","362.20","132.50","64,75,456","2,30,20,73,085.90","50,624"
"27-Nov-2020","EQ","361.30","362.00","347.65","359.20","349.85","350.20","354.82","362.20","132.50","1,43,38,746","5,08,76,67,927.70","1,07,074"
"26-Nov-2020","EQ","338.50","362.20","336.00","338.25","362.00","359.20","349.75","362.20","132.50","1,09,67,276","3,83,58,51,957.45","89,692"
"25-Nov-2020","EQ","343.50","345.90","337.00","340.85","338.00","338.25","342.48","350.50","132.50","61,95,795","2,12,19,12,372.70","53,293"
"24-Nov-2020","EQ","338.90","342.25","334.10","337.75","340.95","340.85","338.51","350.50","132.50","50,14,303","1,69,73,94,206.75","38,107"
"23-Nov-2020","EQ","338.25","342.30","336.00","336.15","337.00","337.75","339.15","350.50","132.50","45,59,744","1,54,64,29,770.70","36,653"
"20-Nov-2020","EQ","332.00","339.00","329.30","331.20","335.60","336.15","334.79","350.50","132.50","59,18,276","1,98,13,87,150.05","52,911"
"19-Nov-2020","EQ","339.90","346.35","329.15","342.60","330.15","331.20","338.13","350.50","132.50","73,70,265","2,49,20,86,063.35","57,494"
"18-Nov-2020","EQ","338.95","346.00","338.35","340.95","341.00","342.60","342.62","350.50","132.50","48,44,406","1,65,97,88,885.35","33,969"
"17-Nov-2020","EQ","343.90","350.50","339.60","341.95","339.95","340.95","345.29","350.50","132.50","73,89,747","2,55,16,16,765.85","58,456"
"14-Nov-2020","EQ","344.10","344.95","340.10","343.20","341.00","341.95","342.68","344.95","132.50","9,75,283","33,42,12,204.95","9,363"
