"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2021","EQ","3,530.00","3,610.00","3,515.05","3,521.35","3,590.80","3,591.10","3,576.81","4,590.00","2,543.95","3,34,441","1,19,62,32,880.80","31,222"
"30-Dec-2021","EQ","3,560.00","3,588.00","3,506.25","3,549.00","3,526.00","3,521.35","3,545.99","4,590.00","2,543.95","3,49,672","1,23,99,34,524.00","30,019"
"29-Dec-2021","EQ","3,499.00","3,577.45","3,478.55","3,507.45","3,542.00","3,549.00","3,550.27","4,590.00","2,543.95","3,86,998","1,37,39,45,707.65","29,415"
"28-Dec-2021","EQ","3,530.00","3,558.00","3,490.00","3,520.60","3,509.00","3,507.45","3,517.39","4,590.00","2,543.95","3,04,191","1,06,99,58,173.75","26,915"
"27-Dec-2021","EQ","3,423.00","3,532.40","3,350.00","3,434.25","3,525.00","3,520.60","3,446.05","4,590.00","2,543.95","5,55,663","1,91,48,43,691.80","45,449"
"24-Dec-2021","EQ","3,534.45","3,548.60","3,425.00","3,534.45","3,429.95","3,434.25","3,472.18","4,590.00","2,543.95","3,16,160","1,09,77,65,885.80","32,455"
"23-Dec-2021","EQ","3,542.00","3,619.00","3,467.70","3,429.45","3,532.00","3,534.45","3,544.93","4,590.00","2,543.95","12,40,077","4,39,59,82,684.35","98,185"
"22-Dec-2021","EQ","3,423.00","3,450.00","3,380.25","3,412.20","3,435.00","3,429.45","3,419.56","4,590.00","2,543.95","6,64,365","2,27,18,32,709.05","61,077"
"21-Dec-2021","EQ","3,415.00","3,430.00","3,365.00","3,393.30","3,408.00","3,412.20","3,401.73","4,590.00","2,543.95","4,50,635","1,53,29,38,499.50","41,790"
"20-Dec-2021","EQ","3,520.00","3,520.35","3,340.00","3,553.35","3,380.00","3,393.30","3,393.57","4,590.00","2,543.95","7,33,817","2,49,02,59,343.60","76,218"
"17-Dec-2021","EQ","3,670.00","3,670.00","3,520.40","3,673.20","3,542.95","3,553.35","3,557.65","4,590.00","2,543.95","7,66,334","2,72,63,50,940.55","70,312"
"16-Dec-2021","EQ","3,721.00","3,729.00","3,648.85","3,677.70","3,677.75","3,673.20","3,674.19","4,590.00","2,543.95","2,17,715","79,99,25,369.60","24,695"
