"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"08-Aug-2025","EQ","729.00","734.11","701.00","712.73","704.12","704.13","707.95","830.00","595.00","2,68,994","19,04,35,131.61","10,709"
"07-Aug-2025","EQ","715.00","732.41","700.41","711.08","713.50","712.73","708.28","830.00","595.00","3,81,743","27,03,79,404.72","11,567"
"06-Aug-2025","EQ","723.75","728.35","709.00","716.75","710.99","711.08","711.52","830.00","595.00","3,03,648","21,60,51,639.38","12,888"
"05-Aug-2025","EQ","740.56","740.56","713.80","718.99","717.30","716.75","716.27","830.00","595.00","2,32,796","16,67,45,505.49","10,749"
"04-Aug-2025","EQ","718.60","719.35","704.73","711.20","719.35","718.99","714.79","830.00","595.00","2,59,298","18,53,43,550.37","16,861"
"01-Aug-2025","EQ","741.40","741.40","709.58","719.81","713.50","711.20","715.02","830.00","595.00","2,87,098","20,52,81,887.88","15,151"
"31-Jul-2025","EQ","731.60","731.60","715.00","723.35","720.25","719.81","720.43","830.00","595.00","3,88,785","28,00,92,836.39","9,432"
"30-Jul-2025","EQ","718.50","730.50","717.19","722.97","723.79","723.35","722.93","830.00","595.00","1,55,713","11,25,69,295.31","6,326"
"29-Jul-2025","EQ","732.35","732.35","710.00","716.45","723.80","722.97","718.50","830.00","595.00","2,48,719","17,87,05,712.01","7,351"
"28-Jul-2025","EQ","725.00","728.06","715.35","720.49","716.00","716.45","719.35","830.00","595.00","3,33,048","23,95,78,799.74","14,706"
"25-Jul-2025","EQ","753.39","753.39","719.60","731.45","722.50","720.49","722.87","830.00","595.00","5,30,197","38,32,61,872.44","17,133"
"24-Jul-2025","EQ","754.43","754.43","727.96","732.46","731.05","731.45","731.20","830.00","595.00","2,58,831","18,92,56,213.16","7,316"
"23-Jul-2025","EQ","753.75","753.75","709.85","731.80","732.70","732.46","730.96","830.00","595.00","2,49,810","18,26,00,486.66","7,508"
"22-Jul-2025","EQ","753.98","753.98","728.28","734.52","732.50","731.80","733.26","830.00","595.00","1,54,922","11,35,97,391.29","7,857"
"21-Jul-2025","EQ","753.65","753.65","718.00","731.70","735.00","734.52","732.81","830.00","595.00","2,71,776","19,91,59,383.06","11,231"
"18-Jul-2025","EQ","717.98","744.49","714.30","736.39","733.21","731.70","733.08","830.00","595.00","2,77,157","20,31,78,910.65","11,051"
"17-Jul-2025","EQ","745.47","745.47","734.17","737.36","735.94","736.39","737.31","830.00","595.00","3,15,351","23,25,11,700.46","6,465"
"16-Jul-2025","EQ","743.35","743.35","728.70","736.09","737.20","737.36","736.29","830.00","595.00","1,81,002","13,32,70,465.71","6,294"
"15-Jul-2025","EQ","731.92","736.86","724.00","731.92","736.46","736.09","734.80","830.00","595.00","2,28,448","16,78,64,520.77","8,012"
"14-Jul-2025","EQ","745.00","745.00","724.55","728.58","731.50","731.92","730.06","830.00","595.00","2,73,432","19,96,22,910.62","11,497"
"11-Jul-2025","EQ","756.57","756.57","727.54","734.53","728.17","728.58","731.26","830.00","595.00","3,75,326","27,44,61,149.51","15,458"
"10-Jul-2025","EQ","755.99","755.99","729.00","736.22","734.73","734.53","734.57","830.00","595.00","2,10,828","15,48,67,227.27","10,283"
"09-Jul-2025","EQ","758.42","758.42","731.00","736.33","735.85","736.22","736.40","830.00","595.00","2,30,953","17,00,73,837.82","7,812"
"08-Jul-2025","EQ","735.50","742.35","726.00","735.65","736.05","736.33","735.47","830.00","595.00","2,61,612","19,24,07,870.01","10,931"
"07-Jul-2025","EQ","728.30","738.00","710.90","735.66","735.90","735.65","735.87","830.00","595.00","5,13,888","37,81,52,867.94","20,194"
