"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"14-Aug-2025","EQ","109.01","110.10","109.01","109.93","110.00","109.99","109.99","113.08","100.80","59,38,936","65,32,43,002.47","5,095"
"13-Aug-2025","EQ","109.95","110.19","109.45","109.91","109.93","109.93","109.93","113.08","100.80","66,18,674","72,76,09,181.41","5,918"
"12-Aug-2025","EQ","109.21","110.31","109.21","109.89","109.92","109.91","109.91","113.08","100.80","87,10,228","95,73,30,987.15","8,039"
"11-Aug-2025","EQ","110.89","110.89","109.89","109.88","109.90","109.89","109.90","113.08","100.80","89,68,677","98,56,81,761.46","10,081"
"08-Aug-2025","EQ","111.78","111.78","109.81","109.83","109.89","109.88","109.89","113.08","100.50","76,42,490","83,97,99,904.66","6,909"
"07-Aug-2025","EQ","106.54","110.26","106.54","109.82","109.83","109.83","109.84","113.08","100.50","76,97,563","84,54,97,485.14","10,046"
"06-Aug-2025","EQ","110.47","110.47","109.54","109.81","109.81","109.82","109.83","113.08","100.50","1,13,22,682","1,24,35,28,320.43","15,486"
"05-Aug-2025","EQ","113.08","113.08","109.52","109.79","109.81","109.81","109.81","113.08","100.50","78,89,977","86,64,36,664.29","8,850"
"04-Aug-2025","EQ","113.07","113.07","109.51","109.78","109.80","109.79","109.79","113.07","100.50","94,68,182","1,03,95,52,381.48","10,106"
"01-Aug-2025","EQ","113.01","113.01","109.77","109.72","109.79","109.78","109.79","113.01","99.50","1,10,90,983","1,21,76,32,805.23","8,535"
"31-Jul-2025","EQ","111.78","111.78","109.35","109.72","109.72","109.72","109.72","112.98","99.50","1,19,34,453","1,30,95,02,099.53","15,490"
"30-Jul-2025","EQ","110.02","110.11","109.71","109.69","109.73","109.72","109.72","112.98","99.50","81,66,876","89,61,04,655.61","5,940"
"29-Jul-2025","EQ","106.42","112.98","106.42","109.69","109.70","109.69","109.70","112.98","99.50","87,57,564","96,06,80,279.73","4,483"
"28-Jul-2025","EQ","109.69","109.70","109.68","109.67","109.70","109.69","109.69","112.86","99.50","1,08,28,793","1,18,78,16,940.20","7,931"
"25-Jul-2025","EQ","109.95","110.09","109.66","109.62","109.68","109.67","109.67","112.86","99.50","1,30,66,876","1,43,30,99,793.70","7,854"
"24-Jul-2025","EQ","110.80","110.80","109.61","109.61","109.63","109.62","109.62","112.86","99.50","59,37,284","65,08,68,880.28","12,108"
"23-Jul-2025","EQ","110.25","110.25","106.30","109.59","109.61","109.61","109.61","112.86","99.50","82,58,645","90,52,61,315.71","27,450"
"22-Jul-2025","EQ","112.86","112.86","109.58","109.58","109.59","109.59","109.59","112.86","99.50","63,17,552","69,23,37,331.52","20,709"
"21-Jul-2025","EQ","112.84","112.84","109.57","109.56","109.57","109.58","109.58","112.84","99.50","56,41,354","61,81,89,208.88","8,383"
"18-Jul-2025","EQ","112.81","112.81","106.24","109.52","109.57","109.56","109.56","112.81","99.50","67,36,932","73,81,21,867.73","9,780"
"17-Jul-2025","EQ","112.77","112.77","109.01","109.50","109.52","109.52","109.52","112.77","99.50","47,14,293","51,63,13,938.65","12,562"
"16-Jul-2025","EQ","109.82","109.82","109.49","109.49","109.51","109.50","109.50","112.74","99.50","52,03,699","56,98,22,259.05","19,541"
"15-Jul-2025","EQ","112.74","112.74","106.19","109.46","109.49","109.49","109.49","112.74","99.50","49,32,053","53,99,98,618.45","4,545"
"14-Jul-2025","EQ","112.74","112.74","109.46","109.46","109.48","109.46","109.47","112.74","99.50","77,49,637","84,83,31,365.89","6,386"
"11-Jul-2025","EQ","110.07","110.07","109.45","109.41","109.47","109.46","109.46","112.67","99.50","97,83,705","1,07,09,69,279.93","11,378"
"10-Jul-2025","EQ","111.00","112.67","109.40","109.39","109.42","109.41","109.41","112.67","99.50","58,37,057","63,86,33,747.63","14,522"
"09-Jul-2025","EQ","110.04","110.04","109.38","109.38","109.41","109.39","109.40","112.65","99.50","60,63,368","66,33,14,367.01","16,552"
"08-Jul-2025","EQ","112.65","112.65","109.37","109.37","109.39","109.38","109.38","112.65","99.50","93,65,652","1,02,44,38,107.85","12,483"
"07-Jul-2025","EQ","109.04","109.90","108.26","109.35","109.37","109.37","109.36","112.53","99.50","1,09,37,533","1,19,61,76,012.79","18,288"
"07-Jul-2025","EQ","109.04","109.90","108.26","109.35","109.37","109.37","109.36","112.53","99.50","1,09,37,533","1,19,61,76,012.79","18,288"
"04-Jul-2025","EQ","110.29","110.29","109.29","109.31","109.36","109.35","109.35","112.53","99.50","2,51,44,096","2,74,95,29,971.82","36,432"
"03-Jul-2025","EQ","108.26","111.77","108.26","109.29","109.32","109.31","109.31","112.53","99.50","1,68,23,969","1,83,90,53,451.43","18,416"
"02-Jul-2025","EQ","109.94","109.94","108.30","109.28","109.30","109.29","109.29","112.53","99.50","1,14,21,942","1,24,83,47,136.82","8,397"
"01-Jul-2025","EQ","112.53","112.53","108.95","109.26","109.29","109.28","109.28","112.53","99.50","1,01,02,209","1,10,39,79,523.94","13,350"
"30-Jun-2025","EQ","109.91","109.91","108.30","109.25","109.26","109.26","109.26","112.41","99.50","92,87,636","1,01,47,58,240.72","13,045"
"27-Jun-2025","EQ","108.93","109.86","108.26","109.20","109.26","109.25","109.25","112.41","99.50","1,00,91,865","1,10,25,60,565.82","6,698"
"26-Jun-2025","EQ","110.38","110.38","109.17","109.19","109.20","109.20","109.20","112.41","99.50","1,11,85,444","1,22,14,47,596.68","5,808"
"25-Jun-2025","EQ","110.26","110.26","108.51","109.17","109.18","109.19","109.19","112.41","99.50","72,86,322","79,55,81,480.60","5,848"
"24-Jun-2025","EQ","111.00","111.00","109.15","109.15","109.17","109.17","109.17","112.41","99.50","77,15,825","84,23,24,007.22","4,382"
"23-Jun-2025","EQ","105.87","112.41","105.87","109.14","109.16","109.15","109.16","112.41","99.50","1,15,15,614","1,25,70,03,546.60","6,867"
"20-Jun-2025","EQ","109.75","109.75","107.50","109.10","109.15","109.14","109.14","112.35","99.50","83,46,423","91,09,57,701.17","6,554"
"19-Jun-2025","EQ","107.01","112.35","107.01","109.08","109.10","109.10","109.11","112.35","99.50","1,14,39,045","1,24,80,70,140.12","7,589"
"18-Jun-2025","EQ","110.95","111.00","108.50","109.07","109.08","109.08","109.09","112.31","99.50","91,73,150","1,00,06,54,481.04","4,981"
"17-Jun-2025","EQ","110.06","112.10","108.60","109.05","109.07","109.07","109.07","112.31","99.50","72,50,025","79,07,65,857.29","6,963"
"16-Jun-2025","EQ","112.20","112.31","108.01","109.04","109.06","109.05","109.05","112.31","99.50","83,91,179","91,50,60,422.81","6,749"
"13-Jun-2025","EQ","109.97","109.97","109.03","108.99","109.05","109.04","109.04","112.22","99.50","68,89,614","75,12,61,757.27","5,606"
"12-Jun-2025","EQ","109.63","109.63","105.72","108.98","109.00","108.99","109.00","112.22","99.50","96,60,114","1,05,29,07,446.18","8,015"
"11-Jun-2025","EQ","108.99","108.99","108.97","108.96","108.99","108.98","108.98","112.22","99.50","80,52,574","87,75,81,155.63","10,097"
"10-Jun-2025","EQ","112.22","112.22","108.95","108.95","108.97","108.96","108.96","112.22","99.50","75,02,273","81,74,63,308.73","9,030"
"09-Jun-2025","EQ","112.20","112.20","105.68","108.94","108.96","108.95","108.95","112.20","99.50","1,30,23,312","1,41,88,87,045.30","9,242"
"06-Jun-2025","EQ","109.48","109.48","108.93","108.88","108.95","108.94","108.94","111.79","99.50","86,21,164","93,92,27,533.74","8,137"
"05-Jun-2025","EQ","109.51","109.51","108.88","108.86","108.90","108.88","108.89","111.79","99.50","74,78,844","81,43,67,523.82","6,576"
"04-Jun-2025","EQ","109.51","109.51","105.60","108.86","108.88","108.86","108.87","111.79","99.50","48,16,211","52,43,46,144.89","6,329"
"03-Jun-2025","EQ","109.45","109.45","108.51","108.83","108.87","108.86","108.86","111.79","99.50","56,34,114","61,33,31,640.57","9,194"
"02-Jun-2025","EQ","109.48","109.48","108.55","108.83","108.85","108.83","108.84","111.79","99.50","1,08,90,270","1,18,52,66,527.30","18,026"
"30-May-2025","EQ","109.05","109.05","108.77","108.78","108.84","108.83","108.83","111.79","99.50","76,36,220","83,10,55,535.16","19,646"
