"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"29-Dec-2023","EQ","10,280.45","10,396.65","10,273.00","10,271.60","10,301.85","10,302.35","10,326.68","10,932.85","8,076.05","7,05,227","7,28,26,51,423.25","1,12,561"
"28-Dec-2023","EQ","10,310.95","10,310.95","10,187.00","10,288.50","10,283.00","10,271.60","10,253.57","10,932.85","8,076.05","5,84,234","5,99,04,83,486.05","1,70,259"
"27-Dec-2023","EQ","10,286.00","10,305.35","10,230.00","10,270.65","10,280.05","10,288.50","10,266.37","10,932.85","8,076.05","3,97,675","4,08,26,80,440.85","66,502"
"26-Dec-2023","EQ","10,270.00","10,281.20","10,114.70","10,217.15","10,277.00","10,270.65","10,222.88","10,932.85","8,076.05","3,95,273","4,04,08,26,646.20","52,448"
"22-Dec-2023","EQ","10,050.00","10,318.30","10,030.00","10,012.85","10,214.70","10,217.15","10,207.12","10,932.85","8,076.05","6,52,545","6,66,06,04,500.60","1,06,029"
"21-Dec-2023","EQ","10,000.00","10,099.25","9,900.00","10,081.25","10,035.00","10,012.85","10,021.63","10,932.85","8,076.05","7,39,806","7,41,40,61,141.90","1,34,363"
"20-Dec-2023","EQ","10,240.00","10,309.05","9,990.00","10,233.60","10,050.00","10,081.25","10,182.40","10,932.85","8,076.05","9,64,051","9,81,63,57,097.50","1,57,086"
"19-Dec-2023","EQ","10,319.60","10,377.00","10,206.20","10,319.60","10,238.50","10,233.60","10,250.80","10,932.85","8,076.05","5,85,734","6,00,42,39,635.55","91,728"
"18-Dec-2023","EQ","10,295.00","10,350.90","10,226.20","10,286.40","10,310.00","10,319.60","10,293.03","10,932.85","8,076.05","6,52,498","6,71,61,79,657.25","1,09,012"
"15-Dec-2023","EQ","10,459.00","10,476.75","9,832.60","10,353.20","10,297.40","10,286.40","10,266.04","10,932.85","8,076.05","12,44,681","12,77,79,40,480.90","1,80,830"
"14-Dec-2023","EQ","10,440.00","10,495.00","10,312.30","10,380.05","10,370.65","10,353.20","10,360.25","10,932.85","8,076.05","6,35,475","6,58,36,77,888.75","1,25,161"
"13-Dec-2023","EQ","10,360.00","10,412.90","10,260.00","10,338.40","10,408.00","10,380.05","10,335.43","10,932.85","8,076.05","6,03,469","6,23,71,10,090.75","88,899"
"12-Dec-2023","EQ","10,620.00","10,624.00","10,301.10","10,541.75","10,350.00","10,338.40","10,443.84","10,932.85","8,076.05","10,88,687","11,37,00,75,446.40","1,47,099"
"11-Dec-2023","EQ","10,630.00","10,638.00","10,500.05","10,618.55","10,554.65","10,541.75","10,567.15","10,932.85","8,076.05","5,79,749","6,12,62,96,682.05","80,626"
"08-Dec-2023","EQ","10,730.00","10,748.00","10,551.00","10,696.65","10,628.80","10,618.55","10,626.93","10,932.85","8,076.05","5,48,373","5,82,75,19,818.75","1,03,497"
"07-Dec-2023","EQ","10,790.00","10,932.85","10,635.00","10,625.75","10,690.00","10,696.65","10,751.25","10,932.85","8,076.05","7,04,413","7,57,33,19,990.35","89,617"
"06-Dec-2023","EQ","10,721.90","10,748.95","10,590.00","10,721.90","10,615.00","10,625.75","10,660.78","10,845.00","8,076.05","4,64,163","4,94,83,40,822.00","96,899"
"05-Dec-2023","EQ","10,650.90","10,770.00","10,563.40","10,599.45","10,700.00","10,721.90","10,692.55","10,845.00","8,076.05","5,80,996","6,21,23,26,239.00","84,880"
"04-Dec-2023","EQ","10,695.00","10,695.10","10,425.00","10,585.70","10,593.00","10,599.45","10,537.27","10,845.00","8,076.05","6,25,235","6,58,82,71,133.25","1,01,101"
"01-Dec-2023","EQ","10,608.00","10,759.00","10,533.05","10,608.70","10,559.00","10,585.70","10,654.73","10,845.00","8,076.05","5,91,519","6,30,24,72,707.80","71,261"
"30-Nov-2023","EQ","10,581.00","10,649.00","10,546.10","10,599.25","10,625.00","10,608.70","10,595.76","10,845.00","8,076.05","6,65,660","7,05,31,73,745.25","70,689"
"29-Nov-2023","EQ","10,570.00","10,634.55","10,525.70","10,537.55","10,580.00","10,599.25","10,566.92","10,845.00","8,076.05","3,43,341","3,62,80,55,916.15","51,944"
"28-Nov-2023","EQ","10,539.95","10,556.40","10,506.00","10,515.65","10,535.00","10,537.55","10,531.85","10,845.00","8,076.05","2,68,026","2,82,28,09,045.50","57,657"
"24-Nov-2023","EQ","10,505.95","10,566.50","10,462.00","10,488.50","10,481.00","10,515.65","10,514.92","10,845.00","8,076.05","3,80,306","3,99,88,87,577.90","50,988"
"23-Nov-2023","EQ","10,487.80","10,525.00","10,394.05","10,494.55","10,490.00","10,488.50","10,455.13","10,845.00","8,076.05","4,53,820","4,74,47,46,938.45","89,410"
"22-Nov-2023","EQ","10,550.00","10,551.25","10,420.00","10,535.15","10,490.00","10,494.55","10,473.07","10,845.00","8,076.05","3,78,891","3,96,81,53,782.55","59,972"
"21-Nov-2023","EQ","10,619.00","10,619.00","10,500.00","10,566.25","10,537.00","10,535.15","10,538.17","10,845.00","8,076.05","3,12,242","3,29,04,59,127.25","41,565"
"20-Nov-2023","EQ","10,500.00","10,593.35","10,500.00","10,523.50","10,568.00","10,566.25","10,554.12","10,845.00","8,076.05","2,34,246","2,47,22,61,189.80","34,745"
"17-Nov-2023","EQ","10,500.00","10,606.80","10,499.15","10,484.50","10,529.35","10,523.50","10,545.91","10,845.00","8,076.05","4,03,772","4,25,81,44,712.40","67,287"
"16-Nov-2023","EQ","10,480.00","10,543.70","10,409.20","10,456.05","10,490.00","10,484.50","10,482.19","10,845.00","8,076.05","4,88,715","5,12,28,04,615.85","78,115"
"15-Nov-2023","EQ","10,497.00","10,497.00","10,375.05","10,398.40","10,463.80","10,456.05","10,425.13","10,845.00","8,076.05","4,36,538","4,55,09,67,038.65","57,181"
"13-Nov-2023","EQ","10,429.00","10,429.00","10,363.65","10,431.40","10,400.30","10,398.40","10,395.10","10,845.00","8,076.05","2,61,891","2,72,23,82,260.65","24,477"
"12-Nov-2023","EQ","10,450.00","10,495.00","10,415.15","10,388.80","10,430.00","10,431.40","10,434.43","10,845.00","8,076.05","27,259","28,44,32,241.90","4,730"
"10-Nov-2023","EQ","10,375.00","10,416.40","10,320.00","10,400.35","10,395.00","10,388.80","10,376.76","10,845.00","8,076.05","2,06,395","2,14,17,11,755.25","33,950"
"09-Nov-2023","EQ","10,349.95","10,449.60","10,316.75","10,322.30","10,401.00","10,400.35","10,401.96","10,845.00","8,076.05","3,10,536","3,23,01,83,156.75","54,605"
"08-Nov-2023","EQ","10,320.00","10,340.45","10,260.60","10,253.30","10,321.00","10,322.30","10,310.09","10,845.00","8,076.05","2,87,006","2,95,90,56,566.70","48,752"
"07-Nov-2023","EQ","10,300.00","10,326.00","10,235.85","10,284.85","10,255.30","10,253.30","10,281.51","10,845.00","8,076.05","2,64,935","2,72,39,31,147.95","42,546"
"06-Nov-2023","EQ","10,338.95","10,338.95","10,252.00","10,276.30","10,289.00","10,284.85","10,286.44","10,845.00","8,076.05","4,90,459","5,04,50,77,478.20","64,956"
"03-Nov-2023","EQ","10,318.00","10,370.00","10,241.00","10,303.60","10,285.05","10,276.30","10,297.15","10,845.00","8,076.05","5,17,582","5,32,96,19,809.95","65,712"
"02-Nov-2023","EQ","10,290.30","10,345.00","10,201.00","10,227.75","10,318.00","10,303.60","10,274.45","10,845.00","8,076.05","5,69,194","5,84,81,54,699.55","79,562"
"01-Nov-2023","EQ","10,390.10","10,422.20","10,188.65","10,392.30","10,209.70","10,227.75","10,272.86","10,845.00","8,076.05","6,99,116","7,18,19,23,305.55","1,01,963"
"31-Oct-2023","EQ","10,490.00","10,490.00","10,321.00","10,397.70","10,390.00","10,392.30","10,411.82","10,845.00","8,076.05","4,39,996","4,58,11,57,843.30","66,003"
"30-Oct-2023","EQ","10,700.00","10,700.00","10,245.00","10,560.70","10,399.00","10,397.70","10,427.57","10,845.00","8,076.05","9,91,168","10,33,54,70,460.50","1,31,977"
"27-Oct-2023","EQ","10,440.05","10,845.00","10,440.00","10,424.15","10,535.00","10,560.70","10,665.75","10,845.00","8,076.05","11,16,713","11,91,05,77,273.75","1,35,498"
"26-Oct-2023","EQ","10,539.00","10,594.00","10,392.50","10,588.85","10,411.00","10,424.15","10,461.87","10,810.85","8,076.05","5,06,129","5,29,50,57,074.45","1,00,714"
"25-Oct-2023","EQ","10,520.00","10,647.45","10,501.60","10,553.65","10,620.00","10,588.85","10,586.22","10,810.85","8,076.05","4,01,105","4,24,61,85,516.65","66,487"
