"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"29-Oct-2024","EQ","214.90","214.90","210.24","212.98","214.56","214.56","211.74","235.65","144.55","5,52,295","11,69,44,107.51","7,161"
"28-Oct-2024","EQ","210.01","214.75","210.01","211.75","213.09","212.98","212.59","235.65","144.55","5,48,471","11,65,98,404.38","8,499"
"25-Oct-2024","EQ","216.89","217.00","209.53","215.41","211.90","211.75","211.53","235.65","143.80","11,94,354","25,26,42,995.45","18,510"
"24-Oct-2024","EQ","218.99","218.99","212.30","215.69","215.60","215.41","215.71","235.65","143.80","2,94,449","6,35,15,204.97","5,096"
"23-Oct-2024","EQ","211.01","218.90","211.01","215.07","215.72","215.69","215.57","235.65","143.80","7,00,186","15,09,42,020.97","7,135"
"22-Oct-2024","EQ","220.00","222.45","214.53","220.52","216.98","215.07","216.58","235.65","143.80","12,65,554","27,40,98,691.68","21,361"
"21-Oct-2024","EQ","227.99","227.99","220.20","223.88","221.00","220.52","222.28","235.65","143.80","5,14,677","11,44,01,779.35","10,772"
"18-Oct-2024","EQ","226.42","226.42","219.26","223.42","224.00","223.88","222.82","235.65","143.80","4,42,664","9,86,34,884.33","6,999"
"17-Oct-2024","EQ","227.90","227.93","223.25","226.91","223.45","223.42","224.22","235.65","143.80","5,06,322","11,35,28,987.12","11,205"
"16-Oct-2024","EQ","227.99","227.99","224.11","226.69","226.67","226.91","226.54","235.65","143.80","2,02,064","4,57,75,255.21","4,126"
"15-Oct-2024","EQ","229.95","229.95","225.55","226.90","226.62","226.69","226.77","235.65","143.80","3,60,229","8,16,89,426.65","5,372"
"14-Oct-2024","EQ","227.99","227.99","223.01","225.48","226.75","226.90","226.17","235.65","143.80","3,00,186","6,78,92,512.90","6,509"
"11-Oct-2024","EQ","226.99","226.99","223.62","225.10","225.52","225.48","224.90","235.65","143.80","2,75,313","6,19,18,426.87","4,755"
"10-Oct-2024","EQ","228.99","228.99","224.75","225.53","225.18","225.10","225.99","235.65","143.80","2,59,690","5,86,87,476.82","5,628"
"09-Oct-2024","EQ","225.99","226.49","222.00","222.91","225.41","225.53","225.61","235.65","143.80","3,78,950","8,54,96,766.69","5,303"
"08-Oct-2024","EQ","224.95","224.95","218.00","219.85","223.50","222.91","221.00","235.65","143.80","5,10,655","11,28,53,771.99","8,535"
"07-Oct-2024","EQ","228.40","228.40","216.42","225.43","219.15","219.85","219.48","235.65","143.80","27,49,645","60,34,83,519.55","29,217"
"04-Oct-2024","EQ","226.99","227.97","221.00","226.39","226.50","225.43","224.25","235.65","143.80","7,21,450","16,17,86,300.99","15,341"
"03-Oct-2024","EQ","229.99","229.99","225.01","230.25","228.00","226.39","226.85","235.65","143.80","9,78,155","22,18,93,702.36","22,994"
"01-Oct-2024","EQ","235.65","235.65","228.30","228.78","230.21","230.25","229.71","235.65","143.80","2,67,089","6,13,52,303.72","6,336"
"30-Sep-2024","EQ","230.00","230.00","227.05","229.40","228.97","228.78","228.60","233.88","143.80","3,95,415","9,03,90,202.41","11,389"
"27-Sep-2024","EQ","232.70","232.70","228.90","230.26","229.40","229.40","229.62","233.88","143.80","5,27,451","12,11,12,728.82","6,180"
"26-Sep-2024","EQ","232.95","232.95","227.01","230.16","230.40","230.26","229.40","233.88","143.80","3,77,863","8,66,81,319.12","6,383"
"25-Sep-2024","EQ","230.61","233.88","229.14","230.88","230.10","230.16","229.92","233.88","143.80","3,34,921","7,70,03,414.93","7,522"
"24-Sep-2024","EQ","232.60","232.60","230.06","230.23","230.84","230.88","230.62","232.99","143.80","3,37,828","7,79,09,359.61","5,273"
"23-Sep-2024","EQ","231.99","231.99","227.36","228.27","230.13","230.23","229.80","232.99","143.80","5,03,400","11,56,80,743.08","7,234"
"20-Sep-2024","EQ","229.50","229.50","225.01","226.19","228.55","228.27","227.36","232.99","143.80","3,79,645","8,63,16,585.62","5,163"
"19-Sep-2024","EQ","225.01","230.30","222.67","227.22","226.97","226.19","225.00","232.99","143.80","6,16,155","13,86,35,549.86","12,242"
