"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"29-Dec-2023","EQ","141.25","141.25","135.97","137.15","136.86","136.63","136.50","141.25","87.43","6,04,243","8,24,77,126.42","5,876"
"28-Dec-2023","EQ","137.15","137.69","137.00","136.91","137.25","137.15","137.33","140.20","87.43","2,61,477","3,59,08,916.84","4,262"
"27-Dec-2023","EQ","140.20","140.20","136.12","136.11","137.00","136.91","136.93","140.20","87.43","2,94,027","4,02,61,376.33","3,866"
"26-Dec-2023","EQ","139.35","139.35","135.36","135.29","135.81","136.11","136.15","139.35","87.43","3,40,539","4,63,65,726.53","5,050"
"22-Dec-2023","EQ","138.95","138.95","135.01","134.92","135.36","135.29","135.33","139.30","87.43","3,33,930","4,51,91,508.89","4,360"
"21-Dec-2023","EQ","139.30","139.30","133.71","135.23","135.05","134.92","134.47","139.30","87.43","3,41,460","4,59,15,158.54","5,191"
"20-Dec-2023","EQ","137.25","137.25","134.05","135.29","135.17","135.23","135.88","137.25","87.43","7,65,307","10,39,92,193.54","5,387"
"19-Dec-2023","EQ","135.95","136.05","135.00","134.93","135.21","135.29","135.58","136.05","87.43","5,66,587","7,68,15,331.35","4,377"
"18-Dec-2023","EQ","134.50","135.66","134.50","134.44","134.87","134.93","135.14","135.66","87.43","5,85,120","7,90,72,504.61","6,508"
"15-Dec-2023","EQ","134.81","135.08","134.02","134.77","134.24","134.44","134.62","135.08","87.43","5,77,763","7,77,78,942.97","6,775"
"14-Dec-2023","EQ","132.63","134.90","132.63","132.63","134.83","134.77","134.58","134.90","87.43","6,16,772","8,30,05,815.71","5,991"
"13-Dec-2023","EQ","131.99","132.77","131.99","131.84","132.60","132.63","132.60","133.00","87.43","3,20,552","4,25,04,760.50","3,819"
"12-Dec-2023","EQ","131.20","132.00","130.30","130.33","131.95","131.84","131.60","133.00","87.43","4,42,876","5,82,80,903.62","4,452"
"11-Dec-2023","EQ","130.95","130.95","128.80","130.00","130.35","130.33","130.31","133.00","87.43","2,88,574","3,76,03,456.42","5,032"
"08-Dec-2023","EQ","132.65","132.65","129.00","128.77","129.78","130.00","130.01","133.00","87.43","2,76,913","3,60,02,367.21","4,067"
"07-Dec-2023","EQ","129.95","129.95","127.35","129.61","128.89","128.77","128.58","133.00","87.43","3,68,442","4,73,74,825.15","6,265"
"06-Dec-2023","EQ","129.95","130.01","129.03","128.79","129.80","129.61","129.76","133.00","87.43","4,24,804","5,51,22,882.46","4,173"
"05-Dec-2023","EQ","129.70","129.72","128.05","129.73","128.76","128.79","128.63","133.00","87.43","6,71,308","8,63,49,527.90","7,829"
"04-Dec-2023","EQ","133.00","133.00","129.20","129.61","129.85","129.73","129.82","133.00","87.43","5,95,021","7,72,47,862.72","7,829"
