"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"29-Dec-2023","EQ","1,204.15","1,208.95","1,191.95","1,198.15","1,200.00","1,201.95","1,200.71","1,314.10","705.10","2,33,307","28,01,35,160.40","18,255"
"28-Dec-2023","EQ","1,189.50","1,213.40","1,186.60","1,186.60","1,198.00","1,198.15","1,202.67","1,314.10","705.10","4,28,029","51,47,76,626.40","25,520"
"27-Dec-2023","EQ","1,196.90","1,197.00","1,183.80","1,184.85","1,190.80","1,186.60","1,188.99","1,314.10","705.10","1,15,977","13,78,95,552.70","11,386"
"26-Dec-2023","EQ","1,184.00","1,188.00","1,167.50","1,175.50","1,183.00","1,184.85","1,182.11","1,314.10","705.10","1,07,996","12,76,62,854.70","15,323"
"22-Dec-2023","EQ","1,165.90","1,180.50","1,160.70","1,155.85","1,178.00","1,175.50","1,172.77","1,314.10","705.10","1,39,471","16,35,67,979.95","13,775"
"21-Dec-2023","EQ","1,170.95","1,182.90","1,152.20","1,168.65","1,155.00","1,155.85","1,161.06","1,314.10","705.10","3,35,295","38,92,97,541.00","28,289"
"20-Dec-2023","EQ","1,198.00","1,202.00","1,160.00","1,193.25","1,170.00","1,168.65","1,181.29","1,314.10","705.10","1,98,212","23,41,46,157.30","17,242"
"19-Dec-2023","EQ","1,182.35","1,196.45","1,180.55","1,177.20","1,194.00","1,193.25","1,189.86","1,314.10","705.10","1,78,453","21,23,34,797.90","19,598"
"18-Dec-2023","EQ","1,192.90","1,196.95","1,174.00","1,192.90","1,177.65","1,177.20","1,182.61","1,314.10","705.10","2,10,191","24,85,72,938.00","30,470"
"15-Dec-2023","EQ","1,196.90","1,204.00","1,186.30","1,184.30","1,190.65","1,192.90","1,195.29","1,314.10","705.10","2,27,498","27,19,26,024.35","23,204"
"14-Dec-2023","EQ","1,174.30","1,197.00","1,172.65","1,168.30","1,186.00","1,184.30","1,186.70","1,314.10","705.10","4,08,360","48,46,01,877.10","19,223"
"13-Dec-2023","EQ","1,176.20","1,176.20","1,158.05","1,166.05","1,171.00","1,168.30","1,165.25","1,314.10","705.10","2,21,245","25,78,04,862.30","25,934"
"12-Dec-2023","EQ","1,178.90","1,190.25","1,152.30","1,170.25","1,173.00","1,166.05","1,169.81","1,314.10","705.10","6,23,963","72,99,15,274.90","28,770"
"11-Dec-2023","EQ","1,184.00","1,185.00","1,155.00","1,172.50","1,171.00","1,170.25","1,165.89","1,314.10","705.10","6,58,164","76,73,45,419.95","26,876"
