"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Oct-2024","EQ","282.00","287.70","277.51","279.30","278.91","278.72","278.75","293.99","208.36","26,33,798","73,41,70,537.01","39,712"
"10-Oct-2024","EQ","280.99","280.99","279.00","278.72","279.55","279.30","279.81","293.99","208.36","30,29,027","84,75,46,459.41","36,233"
"09-Oct-2024","EQ","281.99","281.99","278.23","279.40","279.90","278.72","280.26","293.99","208.36","59,37,406","1,66,39,92,677.03","46,887"
"08-Oct-2024","EQ","278.99","279.85","276.66","278.01","279.50","279.40","278.45","293.99","208.36","67,95,305","1,89,21,55,552.83","68,339"
"07-Oct-2024","EQ","281.45","281.58","276.08","280.15","278.90","278.01","278.19","293.99","208.36","1,06,73,683","2,96,92,77,466.46","1,39,103"
"04-Oct-2024","EQ","283.19","284.51","279.35","282.69","280.70","280.15","281.12","293.99","208.36","1,15,10,706","3,23,58,62,265.44","1,30,396"
"03-Oct-2024","EQ","286.48","286.97","282.05","288.27","282.85","282.69","283.83","293.99","208.36","1,40,22,327","3,97,99,87,490.72","1,92,603"
"01-Oct-2024","EQ","288.78","289.32","287.50","288.38","288.39","288.27","288.24","293.99","208.36","50,76,492","1,46,32,51,253.84","85,705"
"30-Sep-2024","EQ","283.20","293.99","283.20","291.97","288.70","288.38","289.12","293.99","208.36","64,02,198","1,85,10,09,760.89","1,01,630"
"27-Sep-2024","EQ","291.95","292.50","291.35","291.55","292.24","291.97","292.18","292.50","208.36","27,48,665","80,30,92,995.38","26,749"
"26-Sep-2024","EQ","290.39","291.91","289.38","290.09","291.50","291.55","290.65","291.91","208.36","1,24,93,484","3,63,12,42,890.18","31,520"
"25-Sep-2024","EQ","289.38","290.43","288.51","289.30","290.42","290.09","289.47","290.43","208.36","20,51,116","59,37,37,141.15","29,142"
"24-Sep-2024","EQ","289.77","289.88","288.50","289.34","289.40","289.30","289.38","290.10","208.36","22,46,891","65,02,08,025.28","26,652"
"23-Sep-2024","EQ","288.06","290.10","287.41","287.10","289.17","289.34","289.26","290.10","208.36","1,00,01,956","2,89,31,63,068.79","41,139"
"20-Sep-2024","EQ","284.35","287.70","283.75","283.92","287.30","287.10","285.95","287.70","208.36","47,83,991","1,36,79,76,955.72","35,172"
"19-Sep-2024","EQ","283.38","285.70","283.38","283.36","284.24","283.92","284.69","285.70","208.36","36,44,271","1,03,74,85,310.37","28,141"
"18-Sep-2024","EQ","284.28","284.52","282.20","283.89","283.28","283.36","283.46","284.52","208.36","36,53,989","1,03,57,74,957.38","32,861"
"17-Sep-2024","EQ","283.47","284.10","282.83","283.27","283.80","283.89","283.66","284.15","208.36","16,08,792","45,63,43,828.68","25,743"
"16-Sep-2024","EQ","283.50","284.15","283.00","283.19","283.40","283.27","283.49","284.15","208.36","17,35,697","49,20,55,253.95","36,013"
