"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Dec-2022","EQ","43,630.00","43,795.00","42,742.00","43,264.35","42,940.00","42,836.70","43,101.03","54,349.10","37,825.00","21,609","93,13,70,149.00","10,891"
"29-Dec-2022","EQ","44,550.00","44,550.00","43,006.00","44,589.05","43,380.00","43,264.35","43,529.89","54,349.10","37,825.00","36,774","1,60,07,68,087.60","14,573"
"28-Dec-2022","EQ","43,600.05","44,699.00","43,218.00","43,611.45","44,541.00","44,589.05","44,440.63","54,349.10","37,825.00","27,630","1,22,78,94,729.50","8,814"
"27-Dec-2022","EQ","43,830.00","43,945.00","43,315.25","43,550.25","43,560.10","43,611.45","43,566.39","54,349.10","37,825.00","8,556","37,27,54,058.75","4,035"
"26-Dec-2022","EQ","43,037.00","43,966.00","42,600.00","43,031.35","43,612.60","43,550.25","43,519.46","54,349.10","37,825.00","16,795","73,09,09,327.05","8,539"
"23-Dec-2022","EQ","42,950.00","43,450.00","42,805.00","43,395.10","43,000.00","43,031.35","43,154.74","54,349.10","37,216.15","19,003","82,00,69,592.10","8,208"
"22-Dec-2022","EQ","43,500.00","43,699.85","42,960.80","43,255.30","43,300.35","43,395.10","43,300.91","54,349.10","37,216.15","17,941","77,68,61,662.50","7,194"
"21-Dec-2022","EQ","43,760.00","43,998.90","43,116.55","43,633.20","43,201.00","43,255.30","43,461.83","54,349.10","37,216.15","18,613","80,89,54,977.00","10,157"
"20-Dec-2022","EQ","44,000.00","44,000.00","43,151.10","43,998.80","43,715.00","43,633.20","43,496.53","54,349.10","37,216.15","14,427","62,75,24,465.95","8,264"
"19-Dec-2022","EQ","42,900.00","44,125.00","42,712.25","42,967.95","44,050.00","43,998.80","43,719.46","54,349.10","37,216.15","19,871","86,87,49,382.65","9,538"
"16-Dec-2022","EQ","44,000.00","44,000.00","42,903.05","44,037.50","42,990.00","42,967.95","43,206.60","54,349.10","36,090.00","26,021","1,12,42,78,849.25","13,862"
"15-Dec-2022","EQ","45,325.00","45,500.00","44,000.00","45,354.90","44,000.00","44,037.50","44,557.48","54,349.10","36,090.00","51,718","2,30,44,23,783.55","18,100"
"14-Dec-2022","EQ","46,779.95","46,972.90","45,000.00","46,779.30","45,201.00","45,354.90","45,638.26","54,349.10","36,090.00","48,016","2,19,13,66,919.20","16,270"
"13-Dec-2022","EQ","46,000.00","46,847.95","46,000.00","46,389.70","46,731.00","46,779.30","46,511.44","54,349.10","36,090.00","9,971","46,37,65,606.75","4,711"
"12-Dec-2022","EQ","46,490.00","46,534.00","45,913.00","46,395.95","46,300.55","46,389.70","46,288.02","54,349.10","36,090.00","8,388","38,82,63,919.40","5,014"
"09-Dec-2022","EQ","46,143.10","46,534.20","45,683.80","45,913.50","46,311.00","46,395.95","46,129.89","54,349.10","36,090.00","11,939","55,07,44,798.10","6,872"
"08-Dec-2022","EQ","46,299.00","46,424.95","45,722.15","46,130.05","45,970.00","45,913.50","45,987.72","54,349.10","36,090.00","14,659","67,41,33,948.60","7,378"
"07-Dec-2022","EQ","46,988.05","47,295.00","46,001.00","46,988.05","46,090.00","46,130.05","46,509.85","54,349.10","36,090.00","12,768","59,38,37,704.55","5,902"
