"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"07-Feb-2025","EQ","78.79","78.79","76.02","78.57","77.42","77.14","77.56","118.90","69.45","6,19,925","4,80,83,321.33","9,387"
"06-Feb-2025","EQ","78.83","79.18","77.95","78.83","78.89","78.57","78.65","118.90","69.45","5,13,707","4,04,02,331.94","8,937"
"05-Feb-2025","EQ","76.95","79.44","76.60","76.85","78.72","78.83","78.33","118.90","69.45","13,04,646","10,21,99,372.92","17,196"
"04-Feb-2025","EQ","77.28","78.20","75.56","75.98","77.00","76.85","77.01","118.90","69.45","13,88,660","10,69,46,851.40","15,215"
"03-Feb-2025","EQ","73.79","78.75","73.21","74.53","76.00","75.98","76.08","118.90","69.45","42,68,687","32,47,45,648.95","41,795"
"01-Feb-2025","EQ","72.63","76.60","71.21","72.63","74.20","74.53","73.70","121.40","69.45","21,83,474","16,09,14,432.14","16,274"
"31-Jan-2025","EQ","71.46","73.25","70.41","71.41","72.70","72.63","71.52","121.40","69.45","17,84,689","12,76,46,725.09","14,434"
"30-Jan-2025","EQ","72.00","72.00","69.45","72.00","71.35","71.41","70.62","121.40","69.45","19,55,191","13,80,76,357.14","16,682"
"29-Jan-2025","EQ","71.27","73.94","71.27","71.71","72.20","72.00","72.18","121.40","70.07","17,89,795","12,91,86,593.28","13,091"
"28-Jan-2025","EQ","72.80","73.93","70.07","72.46","71.90","71.71","71.72","121.40","70.07","11,99,114","8,60,06,417.05","16,077"
"27-Jan-2025","EQ","74.75","74.75","72.01","74.76","72.30","72.46","72.98","121.40","72.01","8,03,777","5,86,55,688.55","11,494"
"24-Jan-2025","EQ","77.82","78.36","74.10","77.82","74.90","74.76","76.10","133.30","73.90","7,22,688","5,49,95,419.11","9,110"
"23-Jan-2025","EQ","77.44","78.45","76.86","77.45","78.10","77.82","77.90","133.30","73.90","3,58,685","2,79,42,798.84","5,616"
"22-Jan-2025","EQ","78.90","79.54","76.86","78.49","77.80","77.45","77.64","133.30","73.90","14,87,984","11,55,32,008.11","16,336"
"21-Jan-2025","EQ","80.00","81.50","77.78","80.00","78.62","78.49","79.44","133.30","73.90","9,60,170","7,62,76,665.68","12,401"
"20-Jan-2025","EQ","79.99","80.34","78.85","79.43","79.50","80.00","79.52","133.30","73.90","5,79,518","4,60,80,689.72","6,575"
"17-Jan-2025","EQ","78.00","81.50","77.56","78.08","79.90","79.43","79.65","133.70","73.90","17,38,226","13,84,42,196.24","20,824"
"16-Jan-2025","EQ","78.00","80.22","77.50","77.21","77.70","78.08","78.77","133.70","73.90","13,03,746","10,26,93,843.09","11,460"
"15-Jan-2025","EQ","76.20","78.46","74.89","75.77","77.17","77.21","76.74","133.70","73.90","12,68,556","9,73,50,302.49","24,812"
"14-Jan-2025","EQ","75.99","77.85","74.85","75.30","76.37","75.77","76.01","133.70","73.90","12,71,312","9,66,35,619.97","20,849"
"13-Jan-2025","EQ","76.26","80.58","73.90","76.26","75.74","75.30","77.14","133.70","73.90","36,38,718","28,07,07,531.99","38,142"
"10-Jan-2025","EQ","79.65","79.67","76.00","79.63","76.45","76.26","77.47","133.70","76.00","14,40,452","11,15,91,863.85","16,585"
"09-Jan-2025","EQ","80.50","81.35","79.50","80.10","79.69","79.63","80.24","133.70","77.65","5,29,284","4,24,70,179.27","6,966"
"08-Jan-2025","EQ","83.19","83.99","79.46","82.91","80.70","80.10","80.55","133.70","77.65","19,36,975","15,60,17,464.54","17,986"
"07-Jan-2025","EQ","84.28","85.30","82.40","83.74","83.01","82.91","83.87","133.70","77.65","17,46,910","14,65,09,477.21","17,746"
"06-Jan-2025","EQ","83.45","85.75","82.26","83.18","84.29","83.74","84.19","133.70","77.65","26,08,893","21,96,40,716.39","25,677"
"03-Jan-2025","EQ","85.01","85.25","83.00","85.01","83.08","83.18","84.15","133.70","77.65","6,32,156","5,31,94,832.25","6,858"
"02-Jan-2025","EQ","84.89","85.69","84.19","84.68","85.14","85.01","84.92","133.70","77.65","9,21,428","7,82,46,216.32","7,701"
"01-Jan-2025","EQ","84.80","85.18","84.01","84.88","84.65","84.68","84.60","133.70","77.65","4,41,545","3,73,53,417.63","5,591"
