"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Dec-2022","EQ","67.68","67.75","67.20","66.96","67.25","67.23","67.44","74.00","46.15","12,78,013","8,61,93,066.31","1,969"
"29-Dec-2022","EQ","66.89","67.13","66.69","66.96","67.00","66.96","66.95","74.00","46.15","7,91,712","5,30,02,151.59","2,104"
"28-Dec-2022","EQ","67.79","67.79","66.81","67.97","66.95","66.96","67.24","74.00","46.15","10,37,369","6,97,54,515.24","2,868"
"27-Dec-2022","EQ","67.24","68.00","66.95","66.72","67.95","67.97","67.60","74.00","46.15","12,06,472","8,15,56,608.69","2,410"
"26-Dec-2022","EQ","66.85","67.00","66.67","66.76","66.89","66.72","66.81","74.00","46.15","4,83,561","3,23,06,897.59","2,001"
"23-Dec-2022","EQ","66.69","66.87","66.44","66.92","66.85","66.76","66.65","74.00","46.15","11,78,458","7,85,45,317.94","2,501"
"22-Dec-2022","EQ","67.51","67.60","66.75","67.39","66.94","66.92","67.18","74.00","46.15","30,35,686","20,39,22,341.85","3,300"
"21-Dec-2022","EQ","67.45","67.85","67.33","67.01","67.37","67.39","67.55","74.00","46.15","16,62,672","11,23,07,204.23","3,379"
"20-Dec-2022","EQ","65.90","67.19","65.49","66.12","67.15","67.01","66.33","74.00","46.15","17,33,723","11,50,02,024.88","3,548"
"19-Dec-2022","EQ","65.61","66.20","65.61","64.91","66.04","66.12","65.99","74.00","46.15","11,40,849","7,52,80,113.50","2,473"
"16-Dec-2022","EQ","65.68","65.75","64.77","65.57","64.95","64.91","65.34","74.00","46.15","14,64,378","9,56,79,893.23","4,082"
"15-Dec-2022","EQ","66.49","66.49","65.50","66.68","65.60","65.57","65.80","74.00","46.15","15,03,093","9,89,04,014.69","4,810"
"14-Dec-2022","EQ","66.51","67.03","66.51","66.09","66.74","66.68","66.87","74.00","46.15","12,87,396","8,60,90,671.68","2,945"
"13-Dec-2022","EQ","66.24","66.24","66.00","66.11","66.14","66.09","66.12","74.00","46.15","10,87,122","7,18,75,800.88","2,645"
"12-Dec-2022","EQ","65.00","66.25","65.00","65.28","66.18","66.11","65.89","74.00","46.15","19,20,959","12,65,73,171.97","3,998"
"09-Dec-2022","EQ","65.71","65.80","65.10","64.56","65.37","65.28","65.41","74.00","46.15","18,03,759","11,79,87,333.45","4,070"
"08-Dec-2022","EQ","64.98","64.98","64.16","63.83","64.57","64.56","64.51","74.00","46.15","9,31,355","6,00,77,190.86","2,056"
"07-Dec-2022","EQ","64.00","64.14","63.80","64.12","63.83","63.83","63.95","74.00","46.15","15,96,473","10,20,91,572.92","2,900"
"06-Dec-2022","EQ","64.39","64.39","63.79","65.11","64.04","64.12","64.04","74.00","46.15","23,45,153","15,01,74,209.76","4,654"
"05-Dec-2022","EQ","64.00","65.31","64.00","63.76","65.05","65.11","65.12","74.00","46.15","26,34,912","17,15,90,367.99","5,168"
"02-Dec-2022","EQ","62.89","63.95","62.89","62.53","63.75","63.76","63.63","74.00","46.15","29,31,386","18,65,11,952.12","4,430"
"01-Dec-2022","EQ","62.00","62.98","62.00","61.32","62.53","62.53","62.66","74.00","46.15","28,14,423","17,63,65,350.18","3,959"
"30-Nov-2022","EQ","61.38","61.44","61.08","61.21","61.44","61.32","61.25","74.00","46.15","6,56,779","4,02,29,252.96","1,708"
"29-Nov-2022","EQ","61.42","61.42","61.01","61.44","61.20","61.21","61.21","74.00","46.15","13,83,143","8,46,66,037.53","2,407"
"28-Nov-2022","EQ","60.10","61.58","60.10","61.09","61.32","61.44","61.20","74.00","46.15","13,72,688","8,40,02,762.50","2,902"
"25-Nov-2022","EQ","61.79","61.79","61.00","61.46","61.08","61.09","61.18","74.00","46.15","13,28,111","8,12,59,012.83","2,369"
"24-Nov-2022","EQ","61.00","61.61","61.00","60.77","61.49","61.46","61.51","74.00","46.15","11,91,747","7,33,05,783.34","2,155"
"23-Nov-2022","EQ","60.79","61.05","60.45","60.81","60.82","60.77","60.76","74.00","46.15","17,45,016","10,60,34,746.51","2,144"
"22-Nov-2022","EQ","60.40","60.92","60.40","59.93","60.75","60.81","60.74","74.00","46.15","12,02,865","7,30,57,609.48","1,841"
"21-Nov-2022","EQ","61.82","61.82","59.85","60.82","59.98","59.93","60.07","74.00","46.15","15,32,697","9,20,75,420.52","4,116"
"18-Nov-2022","EQ","60.84","60.90","60.49","60.58","60.87","60.82","60.75","74.00","46.15","8,23,261","5,00,14,365.51","1,975"
"17-Nov-2022","EQ","60.83","60.97","60.53","61.56","60.62","60.58","60.69","74.00","46.15","12,05,090","7,31,39,514.27","3,559"
"16-Nov-2022","EQ","61.50","61.70","61.00","61.78","61.70","61.56","61.36","74.00","46.15","14,35,553","8,80,79,335.70","3,148"
"15-Nov-2022","EQ","61.50","62.05","61.50","61.15","61.75","61.78","61.86","74.00","46.15","14,95,311","9,24,96,947.60","3,135"
"14-Nov-2022","EQ","61.45","61.58","60.90","61.58","61.19","61.15","61.18","74.00","46.15","13,74,642","8,41,05,060.08","4,693"
"11-Nov-2022","EQ","62.21","62.21","60.91","60.56","61.30","61.58","61.56","74.00","46.15","28,53,016","17,56,22,215.79","5,348"
"10-Nov-2022","EQ","60.73","60.73","60.00","60.73","60.59","60.56","60.51","74.00","46.15","13,06,491","7,90,62,078.87","2,734"
"09-Nov-2022","EQ","60.90","61.80","60.46","59.97","60.67","60.73","60.89","74.00","46.15","28,43,550","17,31,34,941.57","5,032"
"07-Nov-2022","EQ","59.62","60.09","59.21","58.32","59.90","59.97","59.64","74.00","46.15","36,02,733","21,48,66,232.36","6,537"
"04-Nov-2022","EQ","57.49","58.42","57.49","56.98","58.17","58.32","58.18","74.00","46.15","18,49,262","10,75,84,517.21","3,433"
"03-Nov-2022","EQ","58.37","58.37","56.87","58.37","57.08","56.98","57.35","74.00","46.15","22,68,065","13,00,63,146.40","5,445"
"02-Nov-2022","EQ","58.31","58.59","58.25","58.42","58.38","58.37","58.41","74.00","46.15","9,97,288","5,82,55,557.64","2,682"
"01-Nov-2022","EQ","57.69","58.57","57.49","57.11","58.55","58.42","58.07","74.00","46.15","26,27,978","15,26,18,764.54","4,438"
"31-Oct-2022","EQ","57.25","57.30","56.75","57.21","57.06","57.11","57.01","74.00","46.15","14,13,676","8,05,99,510.44","4,109"
"28-Oct-2022","EQ","57.76","57.85","57.10","57.37","57.30","57.21","57.48","74.00","46.15","12,75,259","7,32,98,901.56","2,657"
"27-Oct-2022","EQ","59.99","59.99","57.25","56.52","57.35","57.37","57.46","74.00","46.15","17,86,452","10,26,57,149.69","4,472"
"25-Oct-2022","EQ","56.95","57.18","56.32","56.93","56.50","56.52","56.95","74.00","46.15","13,27,449","7,56,02,472.37","3,098"
"24-Oct-2022","EQ","57.01","57.05","56.25","55.35","56.84","56.93","56.94","74.00","46.15","12,85,301","7,31,91,226.15","5,412"
