"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2020","EQ","673.90","709.00","673.90","709.35","673.90","673.90","681.62","904.90","37.10","6,88,875","46,95,52,851.40","15,276"
"30-Dec-2020","EQ","766.30","766.30","693.40","729.85","693.40","709.35","749.64","904.90","37.10","15,37,294","1,15,24,10,107.15","43,559"
"29-Dec-2020","EQ","727.00","729.85","702.10","695.10","729.85","729.85","726.12","904.90","37.10","2,11,277","15,34,13,051.20","2,186"
"28-Dec-2020","EQ","687.00","695.10","682.00","662.00","695.10","695.10","692.98","904.90","37.10","2,17,209","15,05,21,238.30","1,726"
"24-Dec-2020","EQ","662.00","662.00","622.00","630.50","662.00","662.00","653.34","904.90","37.10","10,08,581","65,89,51,242.65","12,969"
"23-Dec-2020","EQ","570.50","630.50","570.50","600.50","630.50","630.50","597.49","904.90","37.10","24,81,435","1,48,26,20,495.90","43,409"
"22-Dec-2020","EQ","600.50","600.50","600.50","632.10","600.50","600.50","600.50","904.90","37.10","19,189","1,15,22,994.50","407"
"21-Dec-2020","EQ","642.00","665.00","632.10","665.35","632.10","632.10","641.52","904.90","37.10","4,92,764","31,61,18,662.55","7,551"
"10-Dec-2020","EQ","894.00","904.90","873.00","861.85","904.90","904.90","897.65","904.90","37.10","8,39,523","75,35,96,865.85","30,804"
"09-Dec-2020","EQ","854.70","861.85","845.00","820.85","861.85","861.85","856.89","861.85","37.10","6,01,428","51,53,58,062.70","21,071"
"08-Dec-2020","EQ","804.00","820.85","782.00","781.80","820.85","820.85","814.82","820.85","37.10","11,30,907","92,14,84,441.15","34,535"
"07-Dec-2020","EQ","779.00","781.80","749.00","744.60","781.80","781.80","776.49","781.80","37.10","6,03,561","46,86,58,085.55","16,864"
"04-Dec-2020","EQ","738.00","744.60","681.00","709.15","744.60","744.60","732.38","744.60","37.10","21,26,034","1,55,70,72,643.95","44,637"
"03-Dec-2020","EQ","704.00","709.15","680.00","675.40","709.15","709.15","703.75","709.15","37.10","3,33,432","23,46,52,854.35","2,715"
"02-Dec-2020","EQ","675.40","675.40","675.40","643.25","675.40","675.40","675.40","675.40","37.10","58,176","3,92,92,070.40","515"
"01-Dec-2020","EQ","637.95","643.25","632.60","612.65","643.25","643.25","640.53","643.25","37.10","1,92,729","12,34,47,765.60","1,384"
"27-Nov-2020","EQ","599.95","612.65","583.50","583.50","612.65","612.65","609.63","612.65","37.10","11,43,017","69,68,21,780.05","13,953"
"26-Nov-2020","EQ","583.50","583.50","568.60","555.75","583.50","583.50","580.75","583.50","37.10","10,22,737","59,39,55,783.65","13,648"
"25-Nov-2020","EQ","555.90","555.90","503.00","529.45","555.90","555.75","532.64","555.90","37.10","18,51,981","98,64,31,710.50","23,126"
"24-Nov-2020","EQ","526.40","529.45","514.35","504.25","529.45","529.45","527.65","529.45","37.10","8,06,010","42,52,95,115.45","5,723"
"23-Nov-2020","EQ","504.25","504.25","498.70","480.25","504.25","504.25","504.17","504.25","37.10","5,70,005","28,73,81,754.80","2,055"
"20-Nov-2020","EQ","472.50","480.25","468.00","457.40","480.25","480.25","477.16","480.25","37.10","2,77,880","13,25,93,459.35","2,765"
"19-Nov-2020","EQ","440.00","457.40","427.00","435.65","457.40","457.40","450.44","457.40","37.10","16,65,175","75,00,54,447.65","14,954"
"18-Nov-2020","EQ","435.65","435.65","435.65","414.95","435.65","435.65","435.65","435.65","37.10","60,447","2,63,33,735.55","458"
"17-Nov-2020","EQ","414.95","414.95","414.95","395.20","414.95","414.95","414.95","414.95","37.10","83,174","3,45,13,051.30","418"
