"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Dec-2022","EQ","391.00","392.20","387.00","385.90","388.00","387.95","389.76","528.50","366.20","91,98,673","3,58,52,67,095.30","1,32,690"
"29-Dec-2022","EQ","389.00","390.00","383.05","391.30","386.50","385.90","385.43","528.50","366.20","1,56,27,403","6,02,32,03,992.15","2,39,147"
"28-Dec-2022","EQ","394.00","395.90","390.40","394.15","390.75","391.30","392.83","528.50","366.20","84,43,917","3,31,70,09,457.40","1,53,216"
"27-Dec-2022","EQ","390.00","397.45","388.50","384.80","395.10","394.15","393.86","528.50","366.20","1,43,72,461","5,66,07,08,159.70","1,89,040"
"26-Dec-2022","EQ","380.25","390.70","375.20","378.35","385.50","384.80","385.10","528.50","366.20","1,69,79,026","6,53,86,30,886.55","2,43,760"
"23-Dec-2022","EQ","390.00","390.00","377.00","394.45","378.50","378.35","381.94","528.50","366.20","1,99,02,886","7,60,16,62,665.90","3,46,083"
"22-Dec-2022","EQ","404.10","404.70","390.20","402.60","394.70","394.45","395.24","528.50","366.20","1,49,08,929","5,89,26,30,005.75","2,54,243"
"21-Dec-2022","EQ","412.60","414.40","401.00","410.50","402.15","402.60","407.27","528.50","366.20","1,16,06,059","4,72,68,14,262.45","1,53,187"
"20-Dec-2022","EQ","418.00","418.00","408.00","418.00","409.95","410.50","410.96","528.50","366.20","1,23,41,042","5,07,16,47,700.85","2,34,187"
"19-Dec-2022","EQ","421.90","422.85","415.50","421.60","418.05","418.00","418.14","528.50","366.20","98,09,103","4,10,16,08,096.90","1,17,803"
"16-Dec-2022","EQ","417.35","427.80","413.10","416.70","422.60","421.60","420.49","528.50","366.20","5,09,49,198","21,42,35,14,687.05","1,87,172"
"15-Dec-2022","EQ","418.85","422.80","415.70","417.90","416.70","416.70","419.33","528.50","366.20","75,42,601","3,16,28,33,598.00","87,483"
"14-Dec-2022","EQ","420.55","421.35","417.35","418.50","418.35","417.90","418.94","528.50","366.20","63,14,883","2,64,55,61,123.20","68,884"
"13-Dec-2022","EQ","419.95","421.50","417.25","414.15","418.50","418.50","418.97","528.50","366.20","97,17,894","4,07,14,75,685.65","1,61,902"
"12-Dec-2022","EQ","412.00","416.90","408.00","413.30","414.40","414.15","413.94","528.50","366.20","80,09,229","3,31,53,24,830.00","99,429"
"09-Dec-2022","EQ","419.30","420.95","409.55","417.20","413.20","413.30","414.81","528.50","366.20","99,20,219","4,11,50,39,075.55","1,31,596"
"08-Dec-2022","EQ","421.00","421.40","415.35","420.10","418.00","417.20","418.30","528.50","366.20","95,39,923","3,99,05,28,249.30","1,09,940"
"07-Dec-2022","EQ","428.00","428.00","419.10","427.10","419.90","420.10","421.61","528.50","366.20","1,21,33,315","5,11,55,38,619.55","1,85,117"
"06-Dec-2022","EQ","428.80","431.35","425.35","428.75","426.85","427.10","428.11","528.50","366.20","84,61,831","3,62,26,08,721.05","1,03,055"
"05-Dec-2022","EQ","435.50","437.50","427.80","435.40","429.10","428.75","430.40","528.50","366.20","1,28,57,807","5,53,40,33,838.00","1,50,850"
"02-Dec-2022","EQ","439.00","441.15","435.00","438.25","435.50","435.40","437.03","528.50","366.20","83,52,658","3,65,03,49,373.60","1,03,291"
"01-Dec-2022","EQ","443.00","443.60","436.85","439.40","438.00","438.25","439.68","528.50","366.20","89,09,310","3,91,72,75,338.45","1,06,368"
"30-Nov-2022","EQ","435.00","441.00","433.30","433.15","439.30","439.40","438.08","528.50","366.20","1,47,27,892","6,45,19,37,620.05","1,37,741"
"29-Nov-2022","EQ","432.50","437.90","429.55","433.25","432.65","433.15","433.87","528.50","366.20","86,30,105","3,74,43,70,418.00","1,11,063"
"28-Nov-2022","EQ","435.00","440.35","432.40","433.20","432.55","433.25","435.82","528.50","366.20","1,07,01,208","4,66,38,39,319.80","1,30,866"
"25-Nov-2022","EQ","425.00","435.15","424.00","423.40","434.45","433.20","430.81","528.50","366.20","1,87,64,073","8,08,36,92,097.40","1,35,643"
"24-Nov-2022","EQ","424.50","425.25","420.70","424.05","423.90","423.40","422.83","528.50","366.20","67,68,613","2,86,19,40,712.20","84,532"
"23-Nov-2022","EQ","426.85","429.30","422.85","424.70","423.95","424.05","426.79","528.50","366.20","65,68,241","2,80,32,70,110.65","76,429"
"22-Nov-2022","EQ","421.00","426.40","420.50","421.10","424.50","424.70","423.77","528.50","366.20","64,07,614","2,71,53,85,156.60","78,377"
"21-Nov-2022","EQ","425.60","427.60","420.00","423.80","420.30","421.10","422.76","528.50","366.20","94,97,812","4,01,52,52,994.35","1,06,019"
"18-Nov-2022","EQ","424.00","426.45","421.15","423.15","424.00","423.80","423.98","536.70","366.20","98,51,962","4,17,70,71,481.85","89,517"
"17-Nov-2022","EQ","422.00","427.55","419.60","431.55","422.90","423.15","423.35","536.70","366.20","1,56,21,809","6,61,34,36,881.35","1,51,500"
"16-Nov-2022","EQ","436.95","438.20","429.60","437.15","431.00","431.55","433.56","536.70","366.20","82,06,169","3,55,78,29,752.10","95,936"
"15-Nov-2022","EQ","434.90","438.50","434.10","433.70","436.35","437.15","437.01","536.70","366.20","1,06,96,024","4,67,42,53,814.35","1,14,853"
"14-Nov-2022","EQ","424.00","437.70","423.50","423.50","433.50","433.70","433.93","536.70","366.20","1,79,96,083","7,80,90,03,764.25","1,80,908"
"11-Nov-2022","EQ","420.00","425.50","414.70","412.20","423.00","423.50","420.82","536.70","366.20","1,92,96,401","8,12,02,15,752.15","1,93,066"
"10-Nov-2022","EQ","420.50","420.55","409.20","433.15","413.20","412.20","413.57","536.70","366.20","2,62,51,660","10,85,69,86,374.85","3,26,473"
"09-Nov-2022","EQ","439.20","441.20","432.00","435.00","433.10","433.15","436.28","536.70","366.20","1,44,71,443","6,31,35,75,496.40","1,52,615"
"07-Nov-2022","EQ","428.25","437.50","428.25","425.35","435.00","435.00","432.99","536.70","366.20","1,50,58,076","6,52,00,25,232.95","1,42,616"
"04-Nov-2022","EQ","418.20","426.00","416.90","416.25","424.90","425.35","422.73","536.70","366.20","1,22,77,023","5,18,99,08,108.45","1,16,431"
"03-Nov-2022","EQ","419.40","423.30","414.50","422.15","416.30","416.25","417.83","536.70","366.20","1,09,87,519","4,59,09,42,130.10","1,06,482"
"02-Nov-2022","EQ","423.05","425.10","420.15","421.35","422.60","422.15","422.26","536.70","366.20","1,24,33,578","5,25,02,37,518.95","96,473"
"01-Nov-2022","EQ","414.90","422.40","412.80","412.75","421.00","421.35","417.98","536.70","366.20","1,73,24,893","7,24,15,35,370.85","1,65,150"
"31-Oct-2022","EQ","414.35","416.30","411.60","409.90","412.15","412.75","413.11","536.70","366.20","99,28,218","4,10,14,31,170.45","1,15,652"
"28-Oct-2022","EQ","408.00","411.20","406.10","407.70","410.20","409.90","408.99","536.70","366.20","1,24,88,938","5,10,77,91,578.55","1,07,978"
"27-Oct-2022","EQ","408.55","411.70","404.00","404.55","408.00","407.70","408.11","536.70","366.20","1,46,14,841","5,96,45,01,519.15","1,38,789"
"25-Oct-2022","EQ","404.35","410.50","403.20","401.60","404.20","404.55","407.01","536.70","366.20","1,79,79,661","7,31,78,16,836.80","1,76,905"
"24-Oct-2022","EQ","406.00","406.00","400.15","398.05","402.30","401.60","402.04","536.70","366.20","28,71,205","1,15,43,37,705.80","71,959"
"21-Oct-2022","EQ","397.00","402.25","394.70","398.10","398.20","398.05","399.01","536.70","366.20","1,02,79,618","4,10,16,87,458.65","1,17,448"
"20-Oct-2022","EQ","397.00","399.90","393.10","399.05","397.90","398.10","396.74","536.70","366.20","1,07,47,183","4,26,38,36,335.25","1,23,832"
"19-Oct-2022","EQ","406.20","406.95","397.30","404.25","398.65","399.05","402.39","536.70","366.20","86,48,435","3,48,00,82,846.90","91,985"
"18-Oct-2022","EQ","401.00","406.70","400.70","396.10","404.55","404.25","403.83","536.70","366.20","1,42,15,544","5,74,06,13,453.25","1,33,571"
"17-Oct-2022","EQ","394.00","398.90","392.50","396.25","397.00","396.10","395.78","536.70","366.20","95,43,556","3,77,71,15,166.75","1,15,112"
