"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2020","EQ","163.05","164.20","160.00","162.05","160.85","161.40","161.52","170.70","60.20","2,00,74,626","3,24,24,10,463.20","70,152"
"30-Dec-2020","EQ","160.15","162.50","156.10","160.10","161.45","162.05","160.09","170.70","60.20","2,46,89,065","3,95,24,15,357.05","98,709"
"29-Dec-2020","EQ","163.10","164.30","159.10","163.45","160.25","160.10","161.21","170.70","60.20","2,42,23,818","3,90,51,90,016.10","89,443"
"28-Dec-2020","EQ","162.45","165.35","158.50","162.85","163.85","163.45","162.31","170.70","60.20","3,82,62,010","6,21,04,29,068.85","1,32,593"
"24-Dec-2020","EQ","155.50","170.70","155.10","150.45","161.60","162.85","161.43","170.70","60.20","27,09,68,028","43,74,14,81,032.40","4,37,456"
"23-Dec-2020","EQ","139.10","151.20","137.75","139.10","150.55","150.45","146.35","166.10","60.20","7,32,58,033","10,72,09,97,937.05","1,95,637"
"22-Dec-2020","EQ","134.55","140.10","130.00","133.65","139.35","139.10","135.23","166.10","60.20","4,20,61,951","5,68,78,83,411.65","1,17,101"
"21-Dec-2020","EQ","147.30","147.30","130.55","147.40","131.80","133.65","139.95","166.10","60.20","4,01,41,910","5,61,79,36,006.85","1,36,918"
"18-Dec-2020","EQ","146.00","150.15","143.10","146.50","147.60","147.40","147.28","166.10","60.20","2,52,00,760","3,71,14,57,197.90","89,323"
"17-Dec-2020","EQ","148.95","149.25","145.90","148.00","146.00","146.50","147.85","166.10","60.20","1,57,38,442","2,32,68,56,286.65","49,195"
"16-Dec-2020","EQ","147.30","153.50","146.50","145.75","147.65","148.00","149.57","166.10","60.20","3,29,56,572","4,92,92,35,109.50","1,08,117"
"15-Dec-2020","EQ","145.75","147.25","142.85","146.65","145.40","145.75","145.07","166.10","60.20","2,20,35,135","3,19,66,92,239.95","75,173"
"14-Dec-2020","EQ","147.95","149.50","145.90","146.50","146.25","146.65","147.28","166.10","60.20","1,86,41,959","2,74,55,13,650.20","71,213"
